,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
208,2021-01-12,1277092,367285.94,322000,300000.00,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,1.0
220,2021-01-11,1279099,147012.48,70786,130000.00,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,1.0
224,2021-01-11,1272001,621241.69,276200,302700.00,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,1.0
245,2021-01-11,1279822,16894.11,61554,16894.11,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,1.0
258,2021-01-11,1278121,98747.04,27003,98747.04,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,1.0
261,2021-01-11,1276333,202678.78,211500,210230.65,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,1.0
281,2021-01-06,1274734,223590.69,197652,226617.49,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,1.0
282,2021-01-06,1280176,708531.04,714555,708531.04,0.0,0.0,2133.0,385286.0,75,72,2020,7.0,1.0,0.0
283,2021-01-06,1276188,190403.21,179100,197539.42,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,1.0
315,2021-01-06,1275433,543494.04,206000,220800.00,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,1.0
320,2021-01-06,1277542,110029.55,106003,114969.47,2.0,2.0,1257.0,213861.0,75,8,2015,3.0,1.0,0.0
323,2021-01-06,1278152,286128.55,164800,211000.00,1.0,1.0,667.0,204478.0,75,68,2019,4.0,1.0,1.0
347,2021-01-05,1278078,276256.02,126700,153000.00,2.0,2.0,1080.0,253390.0,27,25,2020,3.0,1.0,1.0
349,2021-01-05,1279220,28264.5,68009,28600.00,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,1.0
359,2021-01-04,1275472,142960.83,126600,137475.00,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,1.0
380,2021-01-04,1278721,659139.24,414900,441000.00,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,1.0
419,2021-01-04,1276233,191236.9,174800,198121.43,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,1.0
426,2020-12-16,1277851,12215.68,707800,12285.77,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,1.0
438,2020-12-16,1273001,582980.19,717000,582980.19,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,1.0
439,2020-12-16,1277724,186687.06,135000,139200.00,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,1.0
443,2020-12-15,1277102,734976.46,591120,600000.00,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,1.0
461,2020-12-14,1276503,191828.42,168560,196609.80,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,1.0
464,2020-12-14,1278775,14981.51,39359,14981.51,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,1.0
468,2020-12-09,1277083,16531.74,130000,16531.74,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,1.0
511,2020-12-07,1271294,600735.3,498000,600735.30,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,1.0
517,2020-12-02,1273071,546868.87,213200,187161.76,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,1.0
523,2020-12-01,1270849,311337.32,235900,262000.00,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,1.0
528,2020-12-01,1273562,199817.79,141100,139900.00,1.0,1.0,918.0,189785.0,18,4,2016,8.0,4.0,1.0
543,2020-11-30,1270585,10214.3,79673,18527.31,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,1.0
544,2020-11-30,1277357,598719.3,406600,550000.00,1.0,2.0,979.0,350742.0,28,22,2019,2.0,1.0,1.0
547,2020-11-30,1271043,402648.04,398534,407900.00,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,1.0
555,2020-11-30,1276186,531447.92,391797,409999.18,1.0,2.0,947.0,630947.0,28,25,2020,5.0,1.0,1.0
557,2020-11-25,1275048,143001.16,125000,143001.16,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,1.0
575,2020-11-23,1274462,234460.14,106740,139900.00,2.0,2.0,730.0,203562.0,21,18,2020,2.0,1.0,0.0
586,2020-11-23,1274164,197332.85,126443,220370.00,2.0,2.0,996.0,343537.0,21,5,2016,6.0,6.0,1.0
589,2020-11-18,1273983,164233.06,194000,172207.49,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,1.0
595,2020-11-18,1273827,10172.76,113000,8872.83,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,1.0
600,2020-11-17,1275529,222936.65,180000,216000.00,3.0,2.0,1400.0,219488.0,7,3,2019,7.0,1.0,1.0
602,2020-11-16,1272522,371189.96,266297,285000.00,1.0,1.0,791.0,233585.0,38,19,2018,6.0,3.0,1.0
604,2020-11-16,1273779,328052.71,393439,331336.96,3.0,2.0,2440.0,627683.0,38,23,2018,3.0,2.0,0.0
621,2020-11-16,1273992,550855.63,567000,555132.63,3.0,2.0,1489.0,334738.0,38,28,2019,6.0,1.0,1.0
630,2020-11-16,1275625,496834.0,473000,496834.00,3.0,2.0,1458.0,539855.0,38,33,2019,3.0,2.0,1.0
650,2020-11-10,1273267,590108.98,365310,550000.00,2.0,2.0,926.0,498773.0,31,24,2019,4.0,2.0,1.0
663,2020-11-09,1272970,303308.43,173567,230000.00,1.0,1.0,816.0,343537.0,22,9,2018,4.0,2.0,0.0
668,2020-11-09,1272982,265302.28,131900,140250.00,2.0,1.0,1000.0,322239.0,22,14,2019,4.0,2.0,0.0
677,2020-11-09,1273649,792404.27,355814,299900.00,2.0,2.0,1509.0,491857.0,22,12,2019,10.0,1.0,0.0
686,2020-11-03,1267319,30977.36,70021,100.00,3.0,2.0,1120.0,205199.0,8,5,2018,1.0,1.0,0.0
695,2020-11-02,1271946,600969.45,564482,423000.00,0.0,0.0,1300.0,683901.0,33,32,2019,8.0,1.0,1.0
712,2020-11-02,1271804,515375.85,341000,443000.00,4.0,3.0,2150.0,449368.0,33,19,2018,6.0,2.0,0.0
719,2020-11-02,1273000,16931.01,72207,16931.01,2.0,1.0,874.0,204976.0,33,23,2019,2.0,1.0,0.0
722,2020-11-02,1270592,242875.91,75821,175000.00,1.0,1.0,700.0,145055.0,33,8,2015,3.0,1.0,1.0
723,2020-10-28,1273067,22236.01,354197,27200.00,2.0,2.0,1088.0,407911.0,2,2,2019,2.0,2.0,1.0
731,2020-10-27,1273127,261318.57,137297,175500.00,2.0,2.0,1502.0,198615.0,15,15,2020,26.0,1.0,1.0
737,2020-10-26,1272307,3331892.39,946866,1100250.00,2.0,3.0,2149.0,1664413.0,16,2,2012,6.0,1.0,1.0
741,2020-10-26,1270035,543978.42,386400,338600.00,2.0,2.0,1326.0,438933.0,16,7,2017,6.0,1.0,1.0
744,2020-10-26,1270576,18084.66,53355,18500.00,2.0,2.0,1000.0,182694.0,16,12,2019,2.0,1.0,0.0
770,2020-10-21,1272300,192619.62,120800,148000.00,2.0,1.0,800.0,173002.0,27,27,2020,3.0,1.0,1.0
771,2020-10-21,1271189,13842.53,41444,13842.53,0.0,0.0,112.0,110771.0,27,22,2019,2.0,1.0,1.0
776,2020-10-20,1273432,249360.13,198000,250666.48,1.0,1.0,852.0,296119.0,8,8,2020,9.0,1.0,1.0
779,2020-10-20,1273956,246578.5,177000,246578.50,2.0,2.0,1130.0,236449.0,8,3,2018,11.0,1.0,1.0
782,2020-10-20,1273887,61134.87,53534,60723.00,3.0,2.0,1125.0,165475.0,8,7,2019,9.0,1.0,1.0
788,2020-10-19,1271943,127645.05,83400,89000.00,2.0,1.0,1075.0,113782.0,25,20,2019,3.0,1.0,1.0
797,2020-10-19,1270420,450619.45,363900,366000.00,3.0,3.0,1702.0,388844.0,25,15,2019,5.0,2.0,1.0
799,2020-10-19,1268865,253243.57,49320,137000.00,2.0,2.0,919.0,156319.0,25,14,2019,7.0,3.0,1.0
802,2020-10-14,1265412,145578.19,58509,145155.00,2.0,1.0,1105.0,180806.0,5,1,2017,36.5,3.0,0.0
809,2020-10-13,1269524,537391.27,453000,537391.27,3.0,2.0,1458.0,310462.0,31,23,2019,5.0,2.0,1.0
826,2020-10-13,1269834,555577.4,338000,443500.00,3.0,3.0,1684.0,433748.0,31,19,2019,5.0,2.0,1.0
831,2020-10-13,1271182,400797.59,267009,401287.59,2.0,2.0,1515.0,502293.0,31,16,2019,4.0,3.0,1.0
832,2020-10-13,1271184,463966.58,264001,283300.00,3.0,3.0,2206.0,338540.0,31,11,2018,6.0,1.0,1.0
845,2020-10-07,1270595,115146.0,109912,115146.00,1.0,1.0,592.0,151750.0,10,9,2019,2.0,1.0,1.0
858,2020-10-05,1268939,344441.0,250300,275000.00,2.0,2.0,1763.0,354752.0,22,7,2017,3.0,1.0,1.0
880,2020-09-30,1269657,115467.57,115327,115467.57,3.0,2.0,1548.0,191240.0,14,7,2018,8.0,2.0,0.0
884,2020-09-29,1270518,174230.68,189360,174230.68,2.0,2.0,1268.0,266992.0,20,19,2019,5.0,2.0,1.0
895,2020-09-29,1269259,284218.52,102120,190000.00,1.0,1.0,994.0,178777.0,20,13,2019,2.0,1.0,1.0
899,2020-09-29,1269620,197332.85,126443,121824.42,2.0,2.0,996.0,344185.0,20,3,2016,6.0,6.0,1.0
914,2020-09-23,1270400,10172.76,113000,10400.00,1.0,1.0,546.0,145085.0,16,14,2019,3.0,2.0,1.0
