,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
106,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,1.0
108,2021-01-19,1273744,196909.76,110235,196909.76,2.0,1.0,873.0,9375.0,360089.0,41,14,2018,0.0,2.0,2.0,0.0
109,2021-01-19,1275983,81234.09,235583,83400.00,3.0,2.0,1320.0,0.0,350030.0,41,19,2018,1.0,2.0,1.0,0.0
110,2021-01-19,1278134,9194.06,285769,9194.06,3.0,2.0,2025.0,3420.0,424101.0,41,39,2020,1.0,2.0,1.0,0.0
113,2021-01-19,1278842,688089.63,675598,684940.00,4.0,4.0,3616.0,15000.0,346916.0,41,2,2007,0.0,3.0,2.0,0.0
116,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,1.0
119,2021-01-19,1279800,315627.0,259477,315627.00,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,1.0
120,2021-01-19,1276925,190303.21,188300,197571.23,1.0,1.0,709.0,0.0,866381.0,41,40,2020,1.0,3.0,1.0,1.0
127,2021-01-19,1281077,23134.21,164800,23134.21,1.0,1.0,667.0,0.0,204478.0,41,32,2019,1.0,1.0,1.0,0.0
129,2021-01-19,1280269,179424.41,189527,194900.00,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,1.0
135,2021-01-19,1276583,401667.48,123498,401667.48,3.0,2.0,1815.0,7500.0,358383.0,41,18,2018,0.0,2.0,1.0,0.0
141,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,1.0
144,2021-01-19,1279029,205990.15,160510,205990.15,3.0,2.0,1234.0,7400.0,220179.0,41,35,2019,0.0,2.0,2.0,0.0
150,2021-01-13,1279200,1156745.09,723642,1236829.15,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,1.0
151,2021-01-13,1279169,322444.3,205247,326229.10,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,1.0
165,2021-01-13,1279924,357990.62,84526,146974.30,2.0,2.0,1150.0,0.0,149391.0,38,24,2019,1.0,4.0,1.0,1.0
166,2021-01-13,1272429,1501473.13,1205130,1245600.00,4.0,3.0,3304.0,36721.0,1913132.0,38,20,2018,0.0,5.0,2.0,0.0
167,2021-01-13,1280854,31932.19,85437,43811.96,3.0,2.0,1715.0,0.0,209838.0,38,26,2019,1.0,3.0,2.0,1.0
169,2021-01-13,1275592,494176.33,148018,320000.00,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,1.0
172,2021-01-13,1279687,1092017.13,1097257,1098604.23,5.0,5.0,5570.0,9375.0,538669.0,38,35,2020,0.0,2.0,1.0,0.0
179,2021-01-13,1279550,12750.3,100425,13454.87,1.0,1.0,855.0,0.0,139211.0,38,37,2020,1.0,1.0,1.0,1.0
180,2021-01-12,1278356,438129.47,85869,300000.00,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,1.0
181,2021-01-12,1278412,337023.86,129119,303800.00,3.0,2.0,1453.0,15006.0,344496.0,41,8,2017,0.0,1.0,3.0,0.0
182,2021-01-12,1279427,54218.33,322100,56582.37,2.0,2.0,1622.0,0.0,457700.0,41,26,2019,1.0,1.0,1.0,1.0
184,2021-01-12,1279549,595743.8,403978,595743.80,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,1.0
185,2021-01-12,1279700,59531.03,114000,59531.03,2.0,2.0,1405.0,0.0,167102.0,41,28,2019,1.0,4.0,1.0,1.0
186,2021-01-12,1278123,152258.82,76093,156600.00,2.0,1.0,840.0,0.0,177801.0,41,29,2019,1.0,8.0,2.0,1.0
187,2021-01-12,1278198,35996.08,189746,56553.52,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,1.0
194,2021-01-12,1279686,460953.09,506700,395000.00,2.0,2.0,1434.0,0.0,363471.0,41,40,2020,1.0,7.0,1.0,0.0
195,2021-01-12,1278725,358365.45,178000,216000.00,2.0,2.0,960.0,0.0,231028.0,41,11,2018,1.0,9.0,2.0,1.0
197,2021-01-12,1280851,1590667.72,955500,1500000.00,4.0,4.0,1871.0,0.0,350918.0,41,39,2020,1.0,5.0,1.0,1.0
203,2021-01-12,1278348,65370.15,310800,69885.18,1.0,1.0,852.0,0.0,381160.0,41,19,2018,1.0,1.0,2.0,1.0
205,2021-01-12,1279445,10726.91,215200,10726.91,3.0,2.0,1308.0,1400.0,294655.0,41,41,2020,1.0,2.0,1.0,0.0
207,2021-01-12,1278199,559079.39,544350,559079.39,2.0,2.0,1171.0,0.0,644858.0,41,34,2019,1.0,3.0,3.0,0.0
208,2021-01-12,1277092,367285.94,322000,300000.00,2.0,1.0,988.0,0.0,328275.0,41,35,2019,1.0,4.0,1.0,1.0
211,2021-01-12,1278876,12687.84,145625,12687.84,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,1.0
215,2021-01-11,1272002,334644.16,152539,50020.00,5.0,2.0,1617.0,7400.0,324452.0,59,17,2017,1.0,3.0,3.0,0.0
220,2021-01-11,1279099,147012.48,70786,130000.00,2.0,2.0,1011.0,0.0,195921.0,59,41,2019,1.0,4.0,1.0,1.0
221,2021-01-11,1277733,341966.65,171249,265000.00,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,1.0
224,2021-01-11,1272001,621241.69,276200,302700.00,2.0,2.0,1175.0,0.0,324968.0,59,18,2018,1.0,5.0,2.0,1.0
