,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
354,2021-01-05,1277832,11909.12,106080,1.0,1.0,749.0,146184.0,27,16,2019,2.0,1.0,49900.0
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,137500.0
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,355100.0
393,2021-01-04,1274937,211494.68,203060,2.0,2.0,960.0,286473.0,72,32,2018,8.0,4.0,198200.0
408,2021-01-04,1275549,25619.34,463443,3.0,3.0,1762.0,675762.0,72,64,2019,1.0,1.0,81400.0
410,2021-01-04,1276320,438573.29,245500,2.0,2.0,1365.0,381193.0,72,56,2019,2.0,1.0,320100.0
414,2021-01-04,1277834,13073.18,84603,1.0,1.0,910.0,140001.0,72,60,2019,2.0,1.0,92400.0
418,2021-01-04,1277560,72198.92,59474,3.0,1.0,930.0,252470.0,72,36,2019,1.0,2.0,25500.0
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,3100.0
420,2021-01-04,1277101,13073.18,84603,1.0,1.0,910.0,140001.0,72,61,2019,1.0,1.0,35500.0
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,235600.0
429,2020-12-16,1278038,15265.22,263000,3.0,2.0,1712.0,342580.0,20,18,2020,1.0,2.0,171100.0
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,100.0
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,146100.0
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,450100.0
445,2020-12-15,1276927,11167.92,139866,2.0,2.0,979.0,226312.0,11,8,2019,1.0,1.0,97200.0
459,2020-12-14,1277725,4363617.56,2067400,2.0,3.0,2942.0,3711543.0,14,10,2019,7.0,3.0,2200100.0
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,196700.0
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,61200.0
466,2020-12-09,1277184,268513.61,186000,1.0,1.0,657.0,778793.0,5,4,2018,9.0,1.0,162100.0
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,96100.0
471,2020-12-08,1277035,54664.35,40597,2.0,2.0,1070.0,131463.0,16,15,2019,2.0,1.0,60100.0
493,2020-12-07,1274193,32506.66,85803,1.0,1.0,679.0,270127.0,33,22,2019,1.0,2.0,47500.0
497,2020-12-07,1274195,453724.1,138000,2.0,3.0,1113.0,192301.0,33,2,2008,5.0,2.0,155100.0
501,2020-12-07,1275709,197953.29,86607,3.0,3.0,1423.0,160850.0,33,3,2014,2.0,3.0,146800.0
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,220100.0
513,2020-12-07,1272295,23330.92,47714,2.0,2.0,1332.0,173132.0,33,23,2019,1.0,4.0,102100.0
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,243700.0
521,2020-12-01,1275233,307459.04,201000,3.0,2.0,1460.0,265296.0,18,11,2018,8.0,3.0,190400.0
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,47300.0
525,2020-12-01,1276355,311815.78,186032,2.0,2.0,1027.0,338757.0,18,6,2018,5.0,1.0,194600.0
528,2020-12-01,1273562,199817.79,141100,1.0,1.0,918.0,189785.0,18,4,2016,8.0,4.0,45100.0
530,2020-12-01,1275546,664036.8,149100,2.0,2.0,864.0,204251.0,18,10,2018,5.0,2.0,163300.0
532,2020-12-01,1276124,389329.6,110118,1.0,1.0,1010.0,166893.0,18,8,2018,6.0,2.0,110100.0
542,2020-11-30,1270582,61076.25,870048,2.0,4.0,1763.0,460112.0,28,18,2019,1.0,1.0,99700.0
543,2020-11-30,1270585,10214.3,79673,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,91200.0
544,2020-11-30,1277357,598719.3,406600,1.0,2.0,979.0,350742.0,28,22,2019,2.0,1.0,2100.0
546,2020-11-30,1275089,21381.74,171500,1.0,1.0,905.0,192840.0,28,8,2018,1.0,1.0,25100.0
547,2020-11-30,1271043,402648.04,398534,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,408000.0
555,2020-11-30,1276186,531447.92,391797,1.0,2.0,947.0,630947.0,28,25,2020,5.0,1.0,5100.0
557,2020-11-25,1275048,143001.16,125000,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,143100.0
558,2020-11-25,1274742,260575.76,113577,1.0,1.0,710.0,169462.0,10,3,2014,9.0,3.0,140400.0
566,2020-11-24,1274038,371712.38,486405,2.0,0.0,1570.0,350742.0,5,2,2019,3.0,4.0,305200.0
586,2020-11-23,1274164,197332.85,126443,2.0,2.0,996.0,343537.0,21,5,2016,6.0,6.0,173100.0
589,2020-11-18,1273983,164233.06,194000,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,200100.0
594,2020-11-18,1274028,97317.83,59297,2.0,1.0,930.0,126312.0,10,2,2017,2.0,2.0,45200.0
595,2020-11-18,1273827,10172.76,113000,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,75300.0
597,2020-11-17,1275476,42557.86,1581530,3.0,2.0,2340.0,710128.0,7,6,2019,1.0,1.0,138100.0
600,2020-11-17,1275529,222936.65,180000,3.0,2.0,1400.0,219488.0,7,3,2019,7.0,1.0,3700.0
601,2020-11-17,1275544,32610.72,48990,2.0,2.0,1400.0,168563.0,7,1,2018,1.0,1.0,65700.0
602,2020-11-16,1272522,371189.96,266297,1.0,1.0,791.0,233585.0,38,19,2018,6.0,3.0,275300.0
605,2020-11-16,1273575,58305.66,259091,2.0,2.0,1229.0,350940.0,38,2,2011,3.0,2.0,75100.0
608,2020-11-16,1275079,25391.01,219980,1.0,1.0,886.0,277154.0,38,24,2019,2.0,1.0,150100.0
621,2020-11-16,1273992,550855.63,567000,3.0,2.0,1489.0,334738.0,38,28,2019,6.0,1.0,10100.0
622,2020-11-16,1275519,362766.23,50995,2.0,2.0,870.0,205459.0,38,4,2014,4.0,1.0,103000.0
624,2020-11-16,1275078,68399.04,313000,3.0,2.0,1950.0,438127.0,38,31,2019,4.0,1.0,280100.0
626,2020-11-16,1271808,166218.94,72718,2.0,2.0,931.0,105533.0,38,20,2018,3.0,2.0,100200.0
628,2020-11-16,1270004,533060.41,162068,2.0,2.0,922.0,306359.0,38,22,2018,6.0,1.0,153400.0
630,2020-11-16,1275625,496834.0,473000,3.0,2.0,1458.0,539855.0,38,33,2019,3.0,2.0,185200.0
636,2020-11-16,1274466,516781.54,359647,1.0,1.0,830.0,385449.0,38,37,2019,3.0,1.0,302300.0
647,2020-11-10,1274218,34908.4,61500,0.0,1.0,410.0,334738.0,31,16,2018,5.0,1.0,55400.0
650,2020-11-10,1273267,590108.98,365310,2.0,2.0,926.0,498773.0,31,24,2019,4.0,2.0,3800.0
692,2020-11-02,1270131,399740.61,194000,1.0,1.0,654.0,282481.0,33,13,2017,7.0,1.0,249100.0
693,2020-11-02,1271167,247393.5,110000,3.0,2.0,1194.0,141449.0,33,9,2015,9.0,5.0,1900.0
695,2020-11-02,1271946,600969.45,564482,0.0,0.0,1300.0,683901.0,33,32,2019,8.0,1.0,169100.0
699,2020-11-02,1270653,117697.13,157609,2.0,2.0,1106.0,217509.0,33,29,2019,4.0,3.0,203100.0
711,2020-11-02,1270590,457589.74,255700,1.0,1.0,988.0,340797.0,33,26,2019,3.0,1.0,197100.0
716,2020-11-02,1271444,137232.5,224500,0.0,1.0,570.0,276210.0,33,28,2019,3.0,3.0,152200.0
722,2020-11-02,1270592,242875.91,75821,1.0,1.0,700.0,145055.0,33,8,2015,3.0,1.0,5100.0
723,2020-10-28,1273067,22236.01,354197,2.0,2.0,1088.0,407911.0,2,2,2019,2.0,2.0,69100.0
731,2020-10-27,1273127,261318.57,137297,2.0,2.0,1502.0,198615.0,15,15,2020,26.0,1.0,120600.0
734,2020-10-27,1271452,13915.59,81471,1.0,1.0,875.0,113891.0,15,14,2020,3.0,1.0,74000.0
737,2020-10-26,1272307,3331892.39,946866,2.0,3.0,2149.0,1664413.0,16,2,2012,6.0,1.0,600100.0
741,2020-10-26,1270035,543978.42,386400,2.0,2.0,1326.0,438933.0,16,7,2017,6.0,1.0,25100.0
743,2020-10-26,1273658,361032.16,236000,1.0,1.0,1019.0,325306.0,16,14,2019,3.0,1.0,238100.0
754,2020-10-21,1271158,62641.99,602300,3.0,4.0,2670.0,740692.0,27,15,2019,2.0,2.0,132100.0
757,2020-10-21,1270817,632286.5,630785,2.0,2.0,1152.0,385740.0,27,19,2019,5.0,3.0,395100.0
763,2020-10-21,1272705,149583.1,86884,2.0,2.0,809.0,104669.0,27,14,2019,3.0,1.0,81600.0
769,2020-10-21,1272299,21782.35,698727,1.0,1.0,849.0,851701.0,27,25,2020,1.0,1.0,27100.0
770,2020-10-21,1272300,192619.62,120800,2.0,1.0,800.0,173002.0,27,27,2020,3.0,1.0,78100.0
771,2020-10-21,1271189,13842.53,41444,0.0,0.0,112.0,110771.0,27,22,2019,2.0,1.0,38800.0
774,2020-10-21,1270823,156020.92,76214,3.0,2.0,1716.0,231421.0,27,8,2017,6.0,5.0,177100.0
776,2020-10-20,1273432,249360.13,198000,1.0,1.0,852.0,296119.0,8,8,2020,9.0,1.0,5100.0
779,2020-10-20,1273956,246578.5,177000,2.0,2.0,1130.0,236449.0,8,3,2018,11.0,1.0,5100.0
782,2020-10-20,1273887,61134.87,53534,3.0,2.0,1125.0,165475.0,8,7,2019,9.0,1.0,123600.0
788,2020-10-19,1271943,127645.05,83400,2.0,1.0,1075.0,113782.0,25,20,2019,3.0,1.0,89300.0
797,2020-10-19,1270420,450619.45,363900,3.0,3.0,1702.0,388844.0,25,15,2019,5.0,2.0,115100.0
799,2020-10-19,1268865,253243.57,49320,2.0,2.0,919.0,156319.0,25,14,2019,7.0,3.0,100.0
809,2020-10-13,1269524,537391.27,453000,3.0,2.0,1458.0,310462.0,31,23,2019,5.0,2.0,100100.0
826,2020-10-13,1269834,555577.4,338000,3.0,3.0,1684.0,433748.0,31,19,2019,5.0,2.0,2100.0
831,2020-10-13,1271182,400797.59,267009,2.0,2.0,1515.0,502293.0,31,16,2019,4.0,3.0,50100.0
832,2020-10-13,1271184,463966.58,264001,3.0,3.0,2206.0,338540.0,31,11,2018,6.0,1.0,200100.0
834,2020-10-13,1270012,186887.72,88511,3.0,2.0,1166.0,134809.0,31,4,2015,8.0,2.0,92600.0
845,2020-10-07,1270595,115146.0,109912,1.0,1.0,592.0,151750.0,10,9,2019,2.0,1.0,45100.0
858,2020-10-05,1268939,344441.0,250300,2.0,2.0,1763.0,354752.0,22,7,2017,3.0,1.0,1100.0
862,2020-10-05,1269125,411294.45,143000,4.0,2.0,1282.0,287755.0,22,5,2016,28.0,2.0,222000.0
872,2020-09-30,1269110,463749.76,331290,1.0,1.0,788.0,378113.0,14,10,2019,5.0,3.0,265600.0
874,2020-09-30,1270571,14129.69,128700,2.0,2.0,1197.0,168623.0,14,14,2020,1.0,1.0,81100.0
877,2020-09-30,1268893,10097.97,13900,2.0,1.0,920.0,86450.0,14,13,2019,1.0,2.0,43100.0
884,2020-09-29,1270518,174230.68,189360,2.0,2.0,1268.0,266992.0,20,19,2019,5.0,2.0,174300.0
894,2020-09-29,1267734,27764.99,132129,1.0,1.0,958.0,176691.0,20,4,2017,1.0,4.0,64100.0
895,2020-09-29,1269259,284218.52,102120,1.0,1.0,994.0,178777.0,20,13,2019,2.0,1.0,10600.0
897,2020-09-29,1269361,831906.59,580694,2.0,3.0,1223.0,648605.0,20,14,2019,3.0,2.0,430300.0
899,2020-09-29,1269620,197332.85,126443,2.0,2.0,996.0,344185.0,20,3,2016,6.0,6.0,146300.0
903,2020-09-23,1267891,250702.9,180711,3.0,2.0,1462.0,245062.0,16,15,2019,8.0,2.0,192600.0
910,2020-09-23,1268044,15595.18,102700,1.0,1.0,714.0,136833.0,16,10,2019,1.0,2.0,24100.0
914,2020-09-23,1270400,10172.76,113000,1.0,1.0,546.0,145085.0,16,14,2019,3.0,2.0,69100.0
919,2020-09-21,1267889,881277.03,643960,3.0,3.0,1334.0,1091276.0,13,11,2019,2.0,3.0,50100.0
922,2020-09-21,1268356,211494.68,203060,2.0,2.0,960.0,282314.0,13,5,2018,8.0,4.0,179900.0
927,2020-09-21,1267561,59200.83,53852,2.0,2.0,812.0,165882.0,13,8,2019,15.0,2.0,140300.0
936,2020-09-14,1267731,195352.48,180069,4.0,3.0,1500.0,228955.0,6,4,2018,3.0,2.0,203000.0
938,2020-09-14,1268353,203330.64,176400,2.0,2.0,1240.0,229630.0,6,2,2016,9.5,1.0,161300.0
950,2020-08-12,1257276,1650673.11,492592,2.0,2.0,1460.0,622546.0,1,1,2016,10.0,1.0,69000.0
