,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
273,2021-01-06,1274203,204168.74,90000,2.0,1.0,1181.0,0.0,135386.0,75,54,2019,1.0,3.0,1.0,68300.0
275,2021-01-06,1279217,702186.27,258445,2.0,2.0,942.0,0.0,352724.0,75,17,2017,1.0,16.0,1.0,260300.0
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,0.0,866381.0,75,74,2020,1.0,3.0,1.0,101100.0
292,2021-01-06,1276368,380090.12,195810,3.0,2.0,1109.0,0.0,249806.0,75,27,2018,1.0,6.0,3.0,220100.0
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,0.0,283469.0,75,58,2019,1.0,4.0,1.0,122700.0
316,2021-01-06,1277827,116626.29,49191,1.0,1.0,700.0,0.0,182725.0,75,46,2019,1.0,7.0,2.0,89700.0
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
323,2021-01-06,1278152,286128.55,164800,1.0,1.0,667.0,0.0,204478.0,75,68,2019,1.0,4.0,1.0,2100.0
328,2021-01-06,1272482,506114.88,332476,4.0,3.0,1985.0,7772.0,502278.0,75,12,2016,1.0,8.0,7.0,417800.0
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
337,2021-01-05,1278075,328213.1,149683,3.0,2.0,1205.0,0.0,217039.0,27,11,2019,1.0,7.0,1.0,180000.0
343,2021-01-05,1277728,694073.13,294412,3.0,2.0,1705.0,4700.0,389794.0,27,1,2014,1.0,5.0,2.0,320200.0
347,2021-01-05,1278078,276256.02,126700,2.0,2.0,1080.0,0.0,253390.0,27,25,2020,1.0,3.0,1.0,110800.0
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
355,2021-01-05,1277721,706061.8,371758,5.0,3.0,3435.0,23400.0,372616.0,27,4,2017,0.0,2.0,2.0,656100.0
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,0.0,267463.0,72,24,2018,1.0,5.0,3.0,355100.0
381,2021-01-04,1271160,545078.46,261850,3.0,2.0,1701.0,4775.0,405066.0,72,26,2018,1.0,7.0,1.0,350100.0
389,2021-01-04,1272589,781276.05,365616,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
399,2021-01-04,1278746,707414.23,630538,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
410,2021-01-04,1276320,438573.29,245500,2.0,2.0,1365.0,0.0,381193.0,72,56,2019,1.0,2.0,1.0,320100.0
418,2021-01-04,1277560,72198.92,59474,3.0,1.0,930.0,0.0,252470.0,72,36,2019,1.0,1.0,2.0,25500.0
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,0.0,268435.0,72,70,2020,1.0,3.0,1.0,3100.0
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,0.0,214709.0,20,16,2020,1.0,6.0,1.0,100.0
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,0.0,752171.0,11,5,2019,1.0,11.0,1.0,450100.0
453,2020-12-14,1278442,694264.48,264704,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
459,2020-12-14,1277725,4363617.56,2067400,2.0,3.0,2942.0,0.0,3711543.0,14,10,2019,1.0,7.0,3.0,2200100.0
460,2020-12-14,1273111,325811.9,106839,2.0,1.0,748.0,5739.2,248396.0,14,8,2019,0.0,1.0,2.0,300600.0
466,2020-12-09,1277184,268513.61,186000,1.0,1.0,657.0,0.0,778793.0,5,4,2018,1.0,9.0,1.0,162100.0
467,2020-12-09,1273825,299146.19,171761,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,330100.0
481,2020-12-08,1272091,1780096.53,752110,0.0,10.0,10293.0,32250.0,299128.0,16,12,2019,0.0,3.0,2.0,860100.0
483,2020-12-08,1277731,373030.86,456005,3.0,3.0,1886.0,12478.0,582622.0,16,14,2019,0.0,3.0,1.0,269100.0
499,2020-12-07,1275939,302362.53,214923,2.0,2.0,1372.0,9223.0,315829.0,33,14,2018,0.0,5.0,1.0,220100.0
500,2020-12-07,1276321,346483.42,134755,2.0,2.0,1460.0,3544.0,344939.0,33,12,2018,1.0,4.0,1.0,295000.0
501,2020-12-07,1275709,197953.29,86607,3.0,3.0,1423.0,0.0,160850.0,33,3,2014,0.0,2.0,3.0,146800.0
504,2020-12-07,1276371,493720.36,282294,2.0,2.0,2700.0,54450.0,570560.0,33,8,2017,0.0,19.0,6.0,369100.0
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,0.0,334530.0,33,26,2019,1.0,6.0,2.0,220100.0
512,2020-12-07,1275589,164747.62,55566,0.0,0.0,0.0,5400.0,345151.0,33,21,2019,0.0,2.0,2.0,120100.0
516,2020-12-02,1275052,432535.59,288808,3.0,2.0,1779.0,7500.0,436512.0,5,3,2018,0.0,4.0,2.0,340900.0
518,2020-12-02,1275051,1081159.96,754402,5.0,3.0,2798.0,9000.0,1282096.0,5,2,2017,0.0,4.0,3.0,815200.0
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,0.0,282664.0,18,13,2019,1.0,4.0,2.0,47300.0
525,2020-12-01,1276355,311815.78,186032,2.0,2.0,1027.0,0.0,338757.0,18,6,2018,1.0,5.0,1.0,194600.0
528,2020-12-01,1273562,199817.79,141100,1.0,1.0,918.0,0.0,189785.0,18,4,2016,1.0,8.0,4.0,45100.0
532,2020-12-01,1276124,389329.6,110118,1.0,1.0,1010.0,0.0,166893.0,18,8,2018,1.0,6.0,2.0,110100.0
535,2020-11-30,1274759,602746.17,258244,3.0,2.0,1671.0,5350.0,336375.0,28,2,2015,1.0,5.0,4.0,275600.0
541,2020-11-30,1276177,1251368.58,910737,5.0,4.0,2739.0,7500.0,1988055.0,28,15,2019,0.0,3.0,1.0,900100.0
544,2020-11-30,1277357,598719.3,406600,1.0,2.0,979.0,0.0,350742.0,28,22,2019,1.0,2.0,1.0,2100.0
555,2020-11-30,1276186,531447.92,391797,1.0,2.0,947.0,0.0,630947.0,28,25,2020,1.0,5.0,1.0,5100.0
558,2020-11-25,1274742,260575.76,113577,1.0,1.0,710.0,0.0,169462.0,10,3,2014,1.0,9.0,3.0,140400.0
563,2020-11-25,1276128,311975.66,175386,4.0,2.0,1883.0,4802.0,411422.0,10,1,2008,1.0,5.0,5.0,320300.0
566,2020-11-24,1274038,371712.38,486405,2.0,0.0,1570.0,0.0,350742.0,5,2,2019,1.0,3.0,4.0,305200.0
576,2020-11-23,1275635,194968.08,200200,3.0,2.0,1629.0,6750.0,307548.0,21,11,2019,0.0,2.0,2.0,169100.0
579,2020-11-23,1274167,445931.73,233733,3.0,2.0,2003.0,5300.0,320665.0,21,16,2019,1.0,5.0,1.0,255600.0
580,2020-11-23,1273112,504638.69,282000,4.0,2.0,1894.0,1516.0,357541.0,21,4,2014,1.0,4.0,5.0,600.0
584,2020-11-23,1275591,991457.43,816004,5.0,5.0,4319.0,6150.0,1204894.0,21,20,2020,1.0,12.5,1.0,658000.0
585,2020-11-23,1275403,374901.27,156820,3.0,2.0,1238.0,7611.0,346128.0,21,2,2012,0.0,6.0,2.0,296100.0
586,2020-11-23,1274164,197332.85,126443,2.0,2.0,996.0,0.0,343537.0,21,5,2016,1.0,6.0,6.0,173100.0
593,2020-11-18,1271025,328063.12,209000,3.0,2.0,1178.0,3598.0,289840.0,10,4,2019,1.0,5.0,3.0,250100.0
594,2020-11-18,1274028,97317.83,59297,2.0,1.0,930.0,0.0,126312.0,10,2,2017,1.0,2.0,2.0,45200.0
599,2020-11-17,1275772,1279736.92,1108624,6.0,4.0,3266.0,87120.0,1473346.0,7,7,2019,0.0,4.0,1.0,960600.0
600,2020-11-17,1275529,222936.65,180000,3.0,2.0,1400.0,0.0,219488.0,7,3,2019,1.0,7.0,1.0,3700.0
602,2020-11-16,1272522,371189.96,266297,1.0,1.0,791.0,0.0,233585.0,38,19,2018,1.0,6.0,3.0,275300.0
606,2020-11-16,1271793,537650.59,302000,4.0,3.0,2322.0,2080.0,405225.0,38,17,2017,1.0,7.0,3.0,100.0
610,2020-11-16,1272297,481391.76,330409,3.0,2.0,1926.0,4325.0,451261.0,38,36,2019,1.0,4.0,1.0,400100.0
613,2020-11-16,1275087,2824246.27,1836102,4.0,4.0,4812.0,11250.0,2541609.0,38,25,2019,0.0,2.0,1.0,1452800.0
614,2020-11-16,1272708,986493.56,239517,3.0,2.0,2058.0,5225.0,486287.0,38,6,2014,0.0,2.0,3.0,406200.0
616,2020-11-16,1274740,2822758.47,1273658,5.0,6.0,5378.0,12352.0,207976.0,38,9,2015,1.0,3.0,3.0,900100.0
618,2020-11-16,1273480,547132.41,393444,2.0,2.0,1563.0,6250.0,460112.0,38,29,2019,0.0,6.0,3.0,425100.0
621,2020-11-16,1273992,550855.63,567000,3.0,2.0,1489.0,0.0,334738.0,38,28,2019,1.0,6.0,1.0,10100.0
622,2020-11-16,1275519,362766.23,50995,2.0,2.0,870.0,0.0,205459.0,38,4,2014,1.0,4.0,1.0,103000.0
623,2020-11-16,1275595,369017.95,206186,4.0,1.0,2196.0,9375.0,439679.0,38,38,2020,0.0,4.0,1.0,201100.0
626,2020-11-16,1271808,166218.94,72718,2.0,2.0,931.0,0.0,105533.0,38,20,2018,1.0,3.0,2.0,100200.0
628,2020-11-16,1270004,533060.41,162068,2.0,2.0,922.0,0.0,306359.0,38,22,2018,1.0,6.0,1.0,153400.0
630,2020-11-16,1275625,496834.0,473000,3.0,2.0,1458.0,0.0,539855.0,38,33,2019,1.0,3.0,2.0,185200.0
636,2020-11-16,1274466,516781.54,359647,1.0,1.0,830.0,0.0,385449.0,38,37,2019,1.0,3.0,1.0,302300.0
639,2020-11-10,1274907,453434.34,307150,4.0,2.0,3268.0,14082.0,561220.0,31,3,2013,0.0,5.0,2.0,385100.0
643,2020-11-10,1273093,352391.63,315391,3.0,2.0,1904.0,8025.0,379368.0,31,12,2018,1.0,5.0,2.0,320100.0
644,2020-11-10,1272421,496510.17,130645,3.0,1.0,1695.0,9030.0,275103.0,31,5,2015,1.0,3.0,5.0,200600.0
645,2020-11-10,1272177,314719.24,330898,4.0,3.0,2690.0,4400.0,430407.0,31,2,2013,1.0,4.0,11.0,367100.0
650,2020-11-10,1273267,590108.98,365310,2.0,2.0,926.0,0.0,498773.0,31,24,2019,1.0,4.0,2.0,3800.0
654,2020-11-10,1272494,364027.05,171280,4.0,2.0,1692.0,4000.0,287860.0,31,10,2018,1.0,9.0,5.0,322100.0
658,2020-11-10,1274039,339756.06,154050,2.0,1.0,1527.0,8475.0,394569.0,31,4,2014,0.0,1.0,6.0,299100.0
659,2020-11-10,1273507,332402.15,120425,4.0,2.0,1988.0,3473.0,329942.0,31,1,2010,0.0,4.0,4.0,283100.0
661,2020-11-10,1273650,315575.71,179449,4.0,1.0,1414.0,11737.6,308113.0,31,23,2019,0.0,2.0,2.0,233700.0
691,2020-11-03,1273481,442214.69,203500,4.0,3.0,1712.0,1835.0,274236.0,8,2,2016,1.0,7.0,2.0,240100.0
693,2020-11-02,1271167,247393.5,110000,3.0,2.0,1194.0,0.0,141449.0,33,9,2015,1.0,9.0,5.0,1900.0
