,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
516,2020-12-02,1275052,432535.59,288808,3.0,2.0,1779.0,7500.0,436512.0,5,3,2018,0.0,4.0,2.0,340900.0
518,2020-12-02,1275051,1081159.96,754402,5.0,3.0,2798.0,9000.0,1282096.0,5,2,2017,0.0,4.0,3.0,815200.0
535,2020-11-30,1274759,602746.17,258244,3.0,2.0,1671.0,5350.0,336375.0,28,2,2015,1.0,5.0,4.0,275600.0
541,2020-11-30,1276177,1251368.58,910737,5.0,4.0,2739.0,7500.0,1988055.0,28,15,2019,0.0,3.0,1.0,900100.0
563,2020-11-25,1276128,311975.66,175386,4.0,2.0,1883.0,4802.0,411422.0,10,1,2008,1.0,5.0,5.0,320300.0
576,2020-11-23,1275635,194968.08,200200,3.0,2.0,1629.0,6750.0,307548.0,21,11,2019,0.0,2.0,2.0,169100.0
579,2020-11-23,1274167,445931.73,233733,3.0,2.0,2003.0,5300.0,320665.0,21,16,2019,1.0,5.0,1.0,255600.0
580,2020-11-23,1273112,504638.69,282000,4.0,2.0,1894.0,1516.0,357541.0,21,4,2014,1.0,4.0,5.0,600.0
584,2020-11-23,1275591,991457.43,816004,5.0,5.0,4319.0,6150.0,1204894.0,21,20,2020,1.0,12.5,1.0,658000.0
585,2020-11-23,1275403,374901.27,156820,3.0,2.0,1238.0,7611.0,346128.0,21,2,2012,0.0,6.0,2.0,296100.0
593,2020-11-18,1271025,328063.12,209000,3.0,2.0,1178.0,3598.0,289840.0,10,4,2019,1.0,5.0,3.0,250100.0
599,2020-11-17,1275772,1279736.92,1108624,6.0,4.0,3266.0,87120.0,1473346.0,7,7,2019,0.0,4.0,1.0,960600.0
606,2020-11-16,1271793,537650.59,302000,4.0,3.0,2322.0,2080.0,405225.0,38,17,2017,1.0,7.0,3.0,100.0
610,2020-11-16,1272297,481391.76,330409,3.0,2.0,1926.0,4325.0,451261.0,38,36,2019,1.0,4.0,1.0,400100.0
613,2020-11-16,1275087,2824246.27,1836102,4.0,4.0,4812.0,11250.0,2541609.0,38,25,2019,0.0,2.0,1.0,1452800.0
614,2020-11-16,1272708,986493.56,239517,3.0,2.0,2058.0,5225.0,486287.0,38,6,2014,0.0,2.0,3.0,406200.0
616,2020-11-16,1274740,2822758.47,1273658,5.0,6.0,5378.0,12352.0,207976.0,38,9,2015,1.0,3.0,3.0,900100.0
618,2020-11-16,1273480,547132.41,393444,2.0,2.0,1563.0,6250.0,460112.0,38,29,2019,0.0,6.0,3.0,425100.0
623,2020-11-16,1275595,369017.95,206186,4.0,1.0,2196.0,9375.0,439679.0,38,38,2020,0.0,4.0,1.0,201100.0
639,2020-11-10,1274907,453434.34,307150,4.0,2.0,3268.0,14082.0,561220.0,31,3,2013,0.0,5.0,2.0,385100.0
643,2020-11-10,1273093,352391.63,315391,3.0,2.0,1904.0,8025.0,379368.0,31,12,2018,1.0,5.0,2.0,320100.0
644,2020-11-10,1272421,496510.17,130645,3.0,1.0,1695.0,9030.0,275103.0,31,5,2015,1.0,3.0,5.0,200600.0
645,2020-11-10,1272177,314719.24,330898,4.0,3.0,2690.0,4400.0,430407.0,31,2,2013,1.0,4.0,11.0,367100.0
654,2020-11-10,1272494,364027.05,171280,4.0,2.0,1692.0,4000.0,287860.0,31,10,2018,1.0,9.0,5.0,322100.0
658,2020-11-10,1274039,339756.06,154050,2.0,1.0,1527.0,8475.0,394569.0,31,4,2014,0.0,1.0,6.0,299100.0
659,2020-11-10,1273507,332402.15,120425,4.0,2.0,1988.0,3473.0,329942.0,31,1,2010,0.0,4.0,4.0,283100.0
661,2020-11-10,1273650,315575.71,179449,4.0,1.0,1414.0,11737.6,308113.0,31,23,2019,0.0,2.0,2.0,233700.0
691,2020-11-03,1273481,442214.69,203500,4.0,3.0,1712.0,1835.0,274236.0,8,2,2016,1.0,7.0,2.0,240100.0
702,2020-11-02,1271443,345508.04,185148,2.0,1.0,2181.0,6000.0,327509.0,33,12,2016,1.0,2.0,5.0,242100.0
706,2020-11-02,1272006,590423.54,403978,5.0,4.0,3945.0,7761.0,564087.0,33,25,2019,1.0,4.0,2.0,345600.0
708,2020-11-02,1271296,87981.37,108900,2.0,1.0,859.0,2940.0,169582.0,33,24,2019,0.0,2.0,4.0,70100.0
715,2020-11-02,1270389,6169144.2,4066815,5.0,5.0,11684.0,51836.0,3817788.0,33,15,2017,1.0,4.0,5.0,800100.0
717,2020-11-02,1271442,231181.13,158376,3.0,2.0,996.0,8580.0,252700.0,33,16,2018,0.0,4.0,1.0,169100.0
724,2020-10-27,1273125,386489.65,315754,4.0,3.0,1939.0,4528.0,408289.0,15,9,2019,1.0,8.0,1.0,375100.0
748,2020-10-26,1271277,226890.02,75788,3.0,2.0,1140.0,3754.0,213996.0,16,13,2019,0.0,9.0,1.0,125600.0
751,2020-10-26,1269504,296359.52,239612,4.0,2.0,2094.0,5000.0,310655.0,16,11,2019,1.0,4.0,1.0,262100.0
752,2020-10-21,1270691,493720.36,282294,2.0,2.0,2700.0,54450.0,565293.0,27,7,2017,0.0,19.0,6.0,169100.0
758,2020-10-21,1272301,479806.16,230694,4.0,2.0,1330.0,5500.0,385827.0,27,20,2019,0.0,7.0,1.0,5100.0
759,2020-10-21,1272998,460460.83,279715,3.0,2.0,1701.0,10041.72,484065.0,27,12,2018,0.0,13.0,1.0,140100.0
761,2020-10-21,1271942,311495.06,133435,3.0,2.0,2165.0,10400.0,330394.0,27,3,2012,1.0,4.0,1.0,280200.0
