,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
206,2021-01-12,1278210,232091.81,276955,3.0,2.0,1420.0,4827.0,395699.0,41,33,2019,0.0,4.0,2.0,317300.0
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,60100.0
213,2021-01-11,1272000,426647.62,180442,3.0,2.0,2043.0,6681.15,351807.0,59,40,2019,0.0,2.0,1.0,280100.0
219,2021-01-11,1275431,366278.72,233000,3.0,2.0,1758.0,1521.0,309715.0,59,14,2017,1.0,2.0,1.0,260500.0
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,2400.0
226,2021-01-11,1279166,814997.52,355169,4.0,2.0,3374.0,20185.5,697205.0,59,6,2014,1.0,4.0,1.0,535600.0
229,2021-01-11,1277559,181073.96,262170,4.0,2.0,2058.0,18447.0,643894.0,59,21,2018,1.0,12.0,6.0,525600.0
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
250,2021-01-11,1274909,389275.63,138616,4.0,2.0,1930.0,8866.0,447067.0,59,44,2019,0.0,4.0,1.0,389300.0
255,2021-01-11,1281014,295482.78,167259,2.0,1.0,1085.0,8250.0,327305.0,59,36,2019,0.0,5.0,2.0,271300.0
265,2021-01-06,1277548,570191.77,197201,3.0,1.0,2001.0,5650.0,341517.0,75,5,2014,0.0,3.0,1.0,250600.0
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,180100.0
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
288,2021-01-06,1278456,377007.24,125592,4.0,2.0,1475.0,3392.0,354381.0,75,65,2019,0.0,3.0,1.0,315200.0
299,2021-01-06,1277826,333967.79,289424,3.0,2.0,1524.0,7541.0,409267.0,75,14,2016,1.0,4.0,4.0,324100.0
304,2021-01-06,1281378,446283.09,369979,4.0,2.0,2150.0,15960.0,575092.0,75,44,2019,0.0,8.0,1.0,445100.0
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
328,2021-01-06,1272482,506114.88,332476,4.0,3.0,1985.0,7772.0,502278.0,75,12,2016,1.0,8.0,7.0,417800.0
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
343,2021-01-05,1277728,694073.13,294412,3.0,2.0,1705.0,4700.0,389794.0,27,1,2014,1.0,5.0,2.0,320200.0
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
355,2021-01-05,1277721,706061.8,371758,5.0,3.0,3435.0,23400.0,372616.0,27,4,2017,0.0,2.0,2.0,656100.0
364,2021-01-04,1273116,321800.03,179100,2.0,1.0,1055.0,4536.0,289644.0,72,19,2017,1.0,2.5,3.0,255100.0
371,2021-01-04,1274828,284028.23,44704,2.0,1.0,715.0,9240.0,252597.0,72,51,2019,0.0,2.0,2.0,207300.0
