,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
226,2021-01-11,1279166,814997.52,355169,4.0,2.0,3374.0,20185.5,697205.0,59,6,2014,1.0,4.0,1.0,535600.0
229,2021-01-11,1277559,181073.96,262170,4.0,2.0,2058.0,18447.0,643894.0,59,21,2018,1.0,12.0,6.0,525600.0
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,0.0,111891.0,59,59,2020,1.0,1.0,1.0,35100.0
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
250,2021-01-11,1274909,389275.63,138616,4.0,2.0,1930.0,8866.0,447067.0,59,44,2019,0.0,4.0,1.0,389300.0
255,2021-01-11,1281014,295482.78,167259,2.0,1.0,1085.0,8250.0,327305.0,59,36,2019,0.0,5.0,2.0,271300.0
263,2021-01-11,1278792,51612.32,61776,2.0,1.0,921.0,0.0,166466.0,59,43,2019,1.0,2.0,1.0,51700.0
278,2021-01-06,1272013,305089.03,128750,2.0,2.0,968.0,0.0,176718.0,75,11,2016,1.0,3.0,2.0,154100.0
281,2021-01-06,1274734,223590.69,197652,1.0,1.0,806.0,0.0,291608.0,75,56,2019,1.0,7.0,1.0,227100.0
288,2021-01-06,1278456,377007.24,125592,4.0,2.0,1475.0,3392.0,354381.0,75,65,2019,0.0,3.0,1.0,315200.0
299,2021-01-06,1277826,333967.79,289424,3.0,2.0,1524.0,7541.0,409267.0,75,14,2016,1.0,4.0,4.0,324100.0
304,2021-01-06,1281378,446283.09,369979,4.0,2.0,2150.0,15960.0,575092.0,75,44,2019,0.0,8.0,1.0,445100.0
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
349,2021-01-05,1279220,28264.5,68009,2.0,2.0,1130.0,0.0,136410.0,27,17,2019,1.0,1.0,2.0,28700.0
354,2021-01-05,1277832,11909.12,106080,1.0,1.0,749.0,0.0,146184.0,27,16,2019,1.0,2.0,1.0,49900.0
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,0.0,164960.0,72,46,2019,1.0,5.0,1.0,137500.0
364,2021-01-04,1273116,321800.03,179100,2.0,1.0,1055.0,4536.0,289644.0,72,19,2017,1.0,2.5,3.0,255100.0
371,2021-01-04,1274828,284028.23,44704,2.0,1.0,715.0,9240.0,252597.0,72,51,2019,0.0,2.0,2.0,207300.0
373,2021-01-04,1279812,228217.74,249613,4.0,2.0,1518.0,3780.0,437468.0,72,35,2019,1.0,9.0,1.0,351600.0
374,2021-01-04,1277561,91409.65,203000,2.0,1.0,1573.0,1802.0,287644.0,72,16,2017,1.0,5.0,3.0,70100.0
379,2021-01-04,1275973,546785.16,247000,3.0,2.0,1537.0,1953.0,285322.0,72,11,2016,1.0,4.0,7.0,277600.0
383,2021-01-04,1274741,117608.9,105541,3.0,2.0,1250.0,7500.0,251987.0,72,23,2018,0.0,7.0,2.0,185200.0
393,2021-01-04,1274937,211494.68,203060,2.0,2.0,960.0,0.0,286473.0,72,32,2018,1.0,8.0,4.0,198200.0
396,2021-01-04,1270034,119599.31,94994,0.0,0.0,0.0,9227.52,428371.0,72,53,2019,1.0,1.0,1.0,165100.0
400,2021-01-04,1277549,337476.46,249982,3.0,2.0,1375.0,7500.0,356723.0,72,43,2019,0.0,12.0,4.0,325100.0
406,2021-01-04,1270038,590291.89,538202,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
408,2021-01-04,1275549,25619.34,463443,3.0,3.0,1762.0,0.0,675762.0,72,64,2019,1.0,1.0,1.0,81400.0
413,2021-01-04,1272590,554848.12,447101,3.0,2.0,1883.0,6650.0,649695.0,72,45,2019,0.0,4.0,2.0,529300.0
414,2021-01-04,1277834,13073.18,84603,1.0,1.0,910.0,0.0,140001.0,72,60,2019,1.0,2.0,1.0,92400.0
415,2021-01-04,1275531,285645.78,186280,2.0,1.0,1053.0,5720.0,354289.0,72,47,2019,0.0,2.0,1.0,293600.0
420,2021-01-04,1277101,13073.18,84603,1.0,1.0,910.0,0.0,140001.0,72,61,2019,1.0,1.0,1.0,35500.0
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,0.0,818614.0,20,19,2020,1.0,1.0,1.0,235600.0
427,2020-12-16,1277291,8014.45,327000,4.0,3.0,2306.0,2275.0,426831.0,20,20,2020,1.0,2.0,0.0,279700.0
429,2020-12-16,1278038,15265.22,263000,3.0,2.0,1712.0,0.0,342580.0,20,18,2020,1.0,1.0,2.0,171100.0
432,2020-12-16,1277550,289679.85,118842,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,0.0,173866.0,20,5,2016,1.0,4.5,4.0,146100.0
445,2020-12-15,1276927,11167.92,139866,2.0,2.0,979.0,0.0,226312.0,11,8,2019,1.0,1.0,1.0,97200.0
446,2020-12-15,1276941,171115.52,105000,3.0,2.0,1509.0,1249.0,178472.0,11,9,2019,1.0,9.0,3.0,113600.0
447,2020-12-15,1274960,269367.46,150667,3.0,1.0,1012.0,7500.0,245832.0,11,3,2018,0.0,12.0,1.0,223600.0
451,2020-12-15,1276492,64496.25,324866,0.0,0.0,2242.0,4750.0,228876.0,11,6,2019,0.0,3.0,2.0,275300.0
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,0.0,233830.0,14,5,2018,1.0,9.0,1.0,196700.0
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,0.0,124930.0,14,7,2019,1.0,1.0,3.0,61200.0
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,0.0,255142.0,5,3,2018,1.0,7.0,2.0,96100.0
471,2020-12-08,1277035,54664.35,40597,2.0,2.0,1070.0,0.0,131463.0,16,15,2019,1.0,2.0,1.0,60100.0
484,2020-12-08,1271941,67672.84,89833,3.0,1.0,936.0,8601.0,249308.0,16,9,2019,0.0,8.0,1.0,166100.0
485,2020-12-07,1274169,591765.28,353795,3.0,2.0,2269.0,15000.0,522569.0,33,16,2018,0.0,2.0,4.0,375100.0
493,2020-12-07,1274193,32506.66,85803,1.0,1.0,679.0,0.0,270127.0,33,22,2019,1.0,1.0,2.0,47500.0
495,2020-12-07,1275184,359397.6,257428,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
497,2020-12-07,1274195,453724.1,138000,2.0,3.0,1113.0,0.0,192301.0,33,2,2008,1.0,5.0,2.0,155100.0
502,2020-12-07,1271792,261005.71,266378,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
505,2020-12-07,1274442,256597.39,132173,3.0,2.0,1200.0,4244.0,248436.0,33,13,2018,1.0,5.0,2.0,207000.0
513,2020-12-07,1272295,23330.92,47714,2.0,2.0,1332.0,0.0,173132.0,33,23,2019,1.0,1.0,4.0,102100.0
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,0.0,288638.0,5,1,2015,1.0,5.0,2.0,243700.0
521,2020-12-01,1275233,307459.04,201000,3.0,2.0,1460.0,0.0,265296.0,18,11,2018,1.0,8.0,3.0,190400.0
530,2020-12-01,1275546,664036.8,149100,2.0,2.0,864.0,0.0,204251.0,18,10,2018,1.0,5.0,2.0,163300.0
531,2020-12-01,1272566,572709.56,252345,2.0,1.0,1966.0,9720.0,360540.0,18,14,2019,0.0,3.0,2.0,231900.0
539,2020-11-30,1273780,169049.58,86923,3.0,2.0,1845.0,8355.0,330504.0,28,17,2019,0.0,4.0,2.0,301200.0
540,2020-11-30,1275088,509189.63,344892,3.0,2.0,2058.0,9916.0,432089.0,28,9,2018,0.0,22.0,1.0,435600.0
542,2020-11-30,1270582,61076.25,870048,2.0,4.0,1763.0,0.0,460112.0,28,18,2019,1.0,1.0,1.0,99700.0
543,2020-11-30,1270585,10214.3,79673,1.0,1.0,846.0,0.0,128163.0,28,27,2020,1.0,1.0,1.0,91200.0
546,2020-11-30,1275089,21381.74,171500,1.0,1.0,905.0,0.0,192840.0,28,8,2018,1.0,1.0,1.0,25100.0
547,2020-11-30,1271043,402648.04,398534,1.0,2.0,912.0,0.0,538546.0,28,21,2019,1.0,3.0,1.0,408000.0
557,2020-11-25,1275048,143001.16,125000,2.0,1.0,891.0,0.0,165841.0,10,7,2018,1.0,3.0,3.0,143100.0
561,2020-11-25,1276127,394832.97,351312,3.0,2.0,2116.0,10140.0,466993.0,10,5,2016,1.0,5.0,1.0,401600.0
564,2020-11-24,1269978,65296.0,111475,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,159600.0
565,2020-11-24,1274220,814522.31,901612,5.0,4.0,4924.0,24000.0,359195.0,5,3,2019,0.0,2.0,1.0,814600.0
571,2020-11-23,1273091,17920.12,386454,4.0,3.0,2434.0,11000.0,548377.0,21,1,2008,1.0,2.0,4.0,52900.0
572,2020-11-23,1275554,7090.06,199700,3.0,2.0,1565.0,1760.0,248570.0,21,21,2020,1.0,1.0,1.0,27100.0
573,2020-11-23,1274192,185228.38,68632,3.0,1.0,800.0,5000.0,206215.0,21,10,2018,0.0,15.0,1.0,150100.0
574,2020-11-23,1273109,436218.22,156323,3.0,2.0,1101.0,10350.0,559890.0,21,3,2012,0.0,7.0,5.0,585200.0
582,2020-11-23,1276167,332093.86,93674,4.0,3.0,1811.0,1896.0,254993.0,21,12,2019,1.0,5.0,1.0,222300.0
589,2020-11-18,1273983,164233.06,194000,3.0,2.0,1256.0,0.0,254464.0,10,5,2019,1.0,5.0,2.0,200100.0
595,2020-11-18,1273827,10172.76,113000,1.0,1.0,546.0,0.0,144461.0,10,8,2019,1.0,3.0,2.0,75300.0
597,2020-11-17,1275476,42557.86,1581530,3.0,2.0,2340.0,0.0,710128.0,7,6,2019,1.0,1.0,1.0,138100.0
601,2020-11-17,1275544,32610.72,48990,2.0,2.0,1400.0,0.0,168563.0,7,1,2018,1.0,1.0,1.0,65700.0
605,2020-11-16,1273575,58305.66,259091,2.0,2.0,1229.0,0.0,350940.0,38,2,2011,1.0,3.0,2.0,75100.0
607,2020-11-16,1274059,247678.86,166932,2.0,2.0,1271.0,3840.0,344233.0,38,7,2015,1.0,4.0,4.0,286400.0
608,2020-11-16,1275079,25391.01,219980,1.0,1.0,886.0,0.0,277154.0,38,24,2019,1.0,2.0,1.0,150100.0
615,2020-11-16,1270379,117047.1,209871,2.0,1.0,865.0,7800.0,345446.0,38,30,2019,0.0,4.0,2.0,263600.0
620,2020-11-16,1272253,409294.83,208915,2.0,4.0,2667.0,4659.0,391763.0,38,32,2019,1.0,3.0,2.0,369100.0
624,2020-11-16,1275078,68399.04,313000,3.0,2.0,1950.0,0.0,438127.0,38,31,2019,1.0,4.0,1.0,280100.0
629,2020-11-16,1271860,97921.07,148500,2.0,1.0,1934.0,7000.0,258843.0,38,13,2017,0.0,5.0,4.0,98000.0
637,2020-11-10,1273564,333547.5,336882,4.0,3.0,2417.0,6020.0,443961.0,31,21,2019,0.0,2.0,4.0,342400.0
638,2020-11-10,1274735,94781.61,2790720,3.0,4.0,3529.0,1.0,5168404.0,31,27,2019,1.0,1.0,1.0,235100.0
640,2020-11-10,1273654,376538.03,264002,3.0,2.0,1357.0,7500.0,400713.0,31,6,2016,1.0,4.0,5.0,321100.0
647,2020-11-10,1274218,34908.4,61500,0.0,1.0,410.0,0.0,334738.0,31,16,2018,1.0,5.0,1.0,55400.0
651,2020-11-10,1275437,156423.95,161334,2.0,1.0,1189.0,7000.0,252102.0,31,20,2019,0.0,2.0,1.0,178100.0
655,2020-11-10,1272946,135174.33,168390,3.0,2.0,1380.0,6450.0,278263.0,31,26,2019,0.0,2.0,5.0,180100.0
689,2020-11-03,1271183,178077.41,702298,4.0,3.0,2426.0,15146.0,916833.0,8,6,2019,0.0,1.0,2.0,190100.0
690,2020-11-03,1269525,277088.79,147355,3.0,3.0,1512.0,2400.0,338142.0,8,1,2014,1.0,6.0,8.0,290200.0
692,2020-11-02,1270131,399740.61,194000,1.0,1.0,654.0,0.0,282481.0,33,13,2017,1.0,7.0,1.0,249100.0
694,2020-11-02,1272174,169254.6,149354,3.0,1.0,1257.0,12000.0,225904.0,33,21,2019,0.0,4.0,1.0,169300.0
698,2020-11-02,1272180,295860.54,83325,2.0,1.0,990.0,5000.0,412715.0,33,30,2019,1.0,5.0,1.0,328200.0
699,2020-11-02,1270653,117697.13,157609,2.0,2.0,1106.0,0.0,217509.0,33,29,2019,1.0,4.0,3.0,203100.0
716,2020-11-02,1271444,137232.5,224500,0.0,1.0,570.0,0.0,276210.0,33,28,2019,1.0,3.0,3.0,152200.0
723,2020-10-28,1273067,22236.01,354197,2.0,2.0,1088.0,0.0,407911.0,2,2,2019,1.0,2.0,2.0,69100.0
732,2020-10-27,1272523,398092.95,405856,3.0,1.0,1866.0,8000.0,732359.0,15,3,2014,0.0,7.0,10.0,636100.0
734,2020-10-27,1271452,13915.59,81471,1.0,1.0,875.0,0.0,113891.0,15,14,2020,1.0,3.0,1.0,74000.0
735,2020-10-27,1273124,204432.76,174328,3.0,1.0,816.0,10080.0,258057.0,15,11,2019,0.0,3.0,1.0,218100.0
745,2020-10-26,1270980,171482.2,245219,3.0,2.0,1615.0,5600.0,359072.0,16,3,2013,1.0,2.0,8.0,265500.0
754,2020-10-21,1271158,62641.99,602300,3.0,4.0,2670.0,0.0,740692.0,27,15,2019,1.0,2.0,2.0,132100.0
755,2020-10-21,1271152,305101.81,157667,3.0,2.0,1287.0,8800.0,397174.0,27,1,2010,0.0,1.0,2.0,281100.0
756,2020-10-21,1272992,8410.15,175001,2.0,2.0,1130.0,1485.0,229488.0,27,21,2019,1.0,1.0,1.0,65000.0
769,2020-10-21,1272299,21782.35,698727,1.0,1.0,849.0,0.0,851701.0,27,25,2020,1.0,1.0,1.0,27100.0
771,2020-10-21,1271189,13842.53,41444,0.0,0.0,112.0,0.0,110771.0,27,22,2019,1.0,2.0,1.0,38800.0
774,2020-10-21,1270823,156020.92,76214,3.0,2.0,1716.0,0.0,231421.0,27,8,2017,1.0,6.0,5.0,177100.0
782,2020-10-20,1273887,61134.87,53534,3.0,2.0,1125.0,0.0,165475.0,8,7,2019,1.0,9.0,1.0,123600.0
788,2020-10-19,1271943,127645.05,83400,2.0,1.0,1075.0,0.0,113782.0,25,20,2019,1.0,3.0,1.0,89300.0
790,2020-10-19,1270517,181595.32,75068,3.0,2.0,1591.0,6890.0,284089.0,25,5,2018,0.0,7.0,1.0,208100.0
791,2020-10-19,1267887,434733.78,273736,4.0,3.0,1874.0,6750.0,394493.0,25,18,2019,0.0,4.0,1.0,296800.0
795,2020-10-19,1272496,237800.28,147338,4.0,2.0,1651.0,7676.0,284948.0,25,3,2016,1.0,13.0,3.0,211000.0
796,2020-10-19,1267735,255977.92,239446,3.0,2.0,1898.0,4243.0,342236.0,25,12,2019,1.0,2.5,2.0,260000.0
804,2020-10-14,1271863,24645.73,34196,0.0,0.0,0.0,4092.0,237975.0,5,4,2019,0.0,2.0,1.0,31000.0
808,2020-10-13,1269981,306604.53,200490,3.0,2.0,1708.0,4712.0,296915.0,31,27,2019,0.0,10.0,2.0,252400.0
811,2020-10-13,1270005,448559.41,278006,3.0,1.0,1206.0,5936.0,370246.0,31,26,2019,0.0,4.0,2.0,291400.0
816,2020-10-13,1268057,314474.96,137760,3.0,2.0,1292.0,7425.0,434672.0,31,21,2019,1.0,3.0,2.0,329200.0
827,2020-10-13,1269619,226844.4,171020,3.0,2.0,1231.0,5121.0,249901.0,31,22,2019,0.0,2.0,4.0,230000.0
840,2020-10-07,1270176,148352.49,199849,3.0,2.0,1334.0,8025.0,310471.0,10,7,2019,1.0,6.0,3.0,265900.0
846,2020-10-06,1267732,240075.09,134512,4.0,2.0,1512.0,8250.0,290751.0,2,1,2017,0.0,7.0,2.0,266100.0
847,2020-10-06,1267733,371966.02,268499,4.0,3.0,1680.0,9583.0,368072.0,2,2,2019,0.0,3.0,2.0,275600.0
855,2020-10-05,1271494,79855.21,82982,3.0,2.0,1456.0,5300.0,259315.0,22,19,2019,0.0,3.0,3.0,201100.0
860,2020-10-05,1268771,942109.38,428431,5.0,4.0,2944.0,6304.0,550851.0,22,16,2019,0.0,9.0,4.0,452100.0
867,2020-10-05,1270123,269393.98,171234,2.0,1.0,1010.0,6000.0,286267.0,22,12,2018,0.0,8.0,1.0,195500.0
873,2020-09-30,1268774,153166.45,164518,3.0,2.0,1445.0,7500.0,294791.0,14,12,2019,0.0,2.0,3.0,210100.0
874,2020-09-30,1270571,14129.69,128700,2.0,2.0,1197.0,0.0,168623.0,14,14,2020,1.0,1.0,1.0,81100.0
877,2020-09-30,1268893,10097.97,13900,2.0,1.0,920.0,0.0,86450.0,14,13,2019,1.0,1.0,2.0,43100.0
884,2020-09-29,1270518,174230.68,189360,2.0,2.0,1268.0,0.0,266992.0,20,19,2019,1.0,5.0,2.0,174300.0
885,2020-09-29,1269628,131704.58,125090,3.0,2.0,2158.0,7875.0,325036.0,20,10,2018,0.0,2.0,3.0,192100.0
887,2020-09-29,1268056,43121.48,74608,3.0,2.0,1126.0,6950.0,261412.0,20,12,2019,0.0,8.0,2.0,180600.0
892,2020-09-29,1267919,396171.34,363211,3.0,2.0,1563.0,9000.0,506245.0,20,18,2019,0.0,5.0,2.0,393700.0
894,2020-09-29,1267734,27764.99,132129,1.0,1.0,958.0,0.0,176691.0,20,4,2017,1.0,1.0,4.0,64100.0
899,2020-09-29,1269620,197332.85,126443,2.0,2.0,996.0,0.0,344185.0,20,3,2016,1.0,6.0,6.0,146300.0
910,2020-09-23,1268044,15595.18,102700,1.0,1.0,714.0,0.0,136833.0,16,10,2019,1.0,1.0,2.0,24100.0
912,2020-09-23,1269262,261450.81,78752,3.0,2.0,1104.0,1.0,274869.0,16,13,2019,1.0,4.0,1.0,215600.0
914,2020-09-23,1270400,10172.76,113000,1.0,1.0,546.0,0.0,145085.0,16,14,2019,1.0,3.0,2.0,69100.0
920,2020-09-21,1268317,246007.44,127815,2.0,2.0,1275.0,1920.0,330921.0,13,10,2019,1.0,3.0,2.0,251600.0
922,2020-09-21,1268356,211494.68,203060,2.0,2.0,960.0,0.0,282314.0,13,5,2018,1.0,8.0,4.0,179900.0
927,2020-09-21,1267561,59200.83,53852,2.0,2.0,812.0,0.0,165882.0,13,8,2019,1.0,15.0,2.0,140300.0
936,2020-09-14,1267731,195352.48,180069,4.0,3.0,1500.0,0.0,228955.0,6,4,2018,1.0,3.0,2.0,203000.0
942,2020-09-09,1267328,13276.75,247271,3.0,2.0,1464.0,3643.0,348851.0,2,1,2018,1.0,2.0,3.0,70100.0
960,2020-08-03,1255935,10391.22,138900,1.0,1.0,994.0,0.0,190411.0,6,5,2019,1.0,1.0,2.0,66400.0
990,2020-07-06,1259557,247678.86,166932,2.0,2.0,1271.0,3840.0,333676.0,13,2,2015,1.0,4.0,4.0,252700.0
997,2020-07-06,1258524,275301.69,235770,3.0,2.0,1146.0,2977.0,331858.0,13,1,2009,0.0,8.0,18.0,275400.0
2064,2020-03-11,1241032,481298.02,239088,3.0,2.0,2320.0,3000.0,473475.0,16,6,2016,1.0,2.0,1.0,379900.0
2069,2020-03-11,1252653,177773.94,140000,2.0,2.0,870.0,0.0,179454.0,16,15,2019,1.0,5.0,1.0,142000.0
2075,2020-03-11,1253051,366853.06,97686,2.0,2.0,830.0,0.0,167469.0,16,12,2019,1.0,4.0,1.0,131800.0
2083,2020-03-10,1251896,504081.0,311002,4.0,2.0,2168.0,4360.0,399447.0,55,5,2014,1.0,5.0,6.0,319600.0
2085,2020-03-10,1251693,300580.85,34250,0.0,0.0,0.0,5772.0,252988.0,55,22,2019,0.0,3.0,4.0,30100.0
2096,2020-03-10,1251699,196837.53,70329,1.0,1.0,880.0,0.0,115209.0,55,21,2018,1.0,3.0,2.0,81300.0
2099,2020-03-10,1251855,142855.71,125345,2.0,1.0,1140.0,0.0,192164.0,55,15,2018,1.0,7.0,3.0,155800.0
2100,2020-03-10,1251255,450358.25,465115,3.0,2.0,3063.0,13038.0,554871.0,55,4,2013,1.0,2.0,3.0,449800.0
2126,2020-03-09,1243142,56026.79,93625,2.0,1.0,1000.0,0.0,97262.0,66,32,2018,1.0,4.0,2.0,72100.0
2129,2020-03-09,1250385,287106.36,157223,3.0,1.0,1356.0,6300.0,329284.0,66,6,2012,0.0,4.0,2.0,266100.0
2140,2020-03-09,1248033,307791.03,190000,3.0,2.0,1252.0,1984.0,251546.0,66,46,2019,1.0,5.5,2.0,206900.0
