,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
77,2021-01-20,1280769,304225.75,194177,3.0,2.0,1301.0,4866.0,310316.0,37,30,2019,1.0,4.0,1.0,1.0
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,1.0
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,1.0
84,2021-01-20,1280193,443175.13,237760,3.0,2.0,1472.0,2434.0,306439.0,37,17,2019,0.0,6.0,4.0,0.0
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1.0
87,2021-01-20,1275436,481063.28,248856,3.0,2.0,2025.0,9545.0,459152.0,37,22,2019,0.0,7.0,1.0,0.0
90,2021-01-20,1280758,13276.75,247271,3.0,2.0,1464.0,3643.0,349500.0,37,15,2018,1.0,2.0,3.0,1.0
91,2021-01-20,1279850,713993.16,430127,3.0,3.0,3048.0,30056.0,889824.0,37,29,2019,0.0,2.0,2.0,0.0
94,2021-01-20,1280873,131704.58,125090,3.0,2.0,2158.0,7875.0,332488.0,37,16,2018,0.0,2.0,3.0,0.0
95,2021-01-20,1279429,945980.74,895397,3.0,2.0,4437.0,34412.0,1393807.0,37,24,2019,0.0,2.0,2.0,0.0
96,2021-01-20,1280770,621636.11,224024,3.0,1.0,1392.0,5000.0,392480.0,37,26,2019,0.0,1.0,1.0,0.0
97,2021-01-20,1279194,605896.8,95274,6.0,4.0,1322.0,6250.0,556390.0,37,8,2017,1.0,2.0,3.0,0.0
98,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,1.0
99,2021-01-20,1279453,320275.35,304985,2.0,1.0,1995.0,7215.0,417216.0,37,25,2019,0.0,5.0,2.0,1.0
101,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,1.0
102,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,1.0
104,2021-01-20,1280873,131704.58,125090,3.0,2.0,2158.0,7875.0,332488.0,37,16,2018,0.0,2.0,3.0,0.0
105,2021-01-20,1280769,304225.75,194177,3.0,2.0,1301.0,4866.0,310316.0,37,30,2019,1.0,4.0,1.0,1.0
108,2021-01-19,1273744,196909.76,110235,2.0,1.0,873.0,9375.0,360089.0,41,14,2018,0.0,2.0,2.0,0.0
110,2021-01-19,1278134,9194.06,285769,3.0,2.0,2025.0,3420.0,424101.0,41,39,2020,1.0,2.0,1.0,0.0
113,2021-01-19,1278842,688089.63,675598,4.0,4.0,3616.0,15000.0,346916.0,41,2,2007,0.0,3.0,2.0,0.0
114,2021-01-19,1272428,318057.56,88710,2.0,1.0,1414.0,10726.0,336965.0,41,1,2007,0.0,5.0,12.0,0.0
115,2021-01-19,1277593,501018.75,237843,3.0,2.0,1272.0,7500.0,415965.0,41,15,2018,0.0,3.0,1.0,0.0
