,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,13369.40
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481370.57
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,451950.00
101,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
102,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
129,2021-01-19,1280269,179424.41,189527,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,194900.00
180,2021-01-12,1278356,438129.47,85869,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300000.00
187,2021-01-12,1278198,35996.08,189746,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,56553.52
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,12687.84
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,50543.83
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,108357.76
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,8366.00
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,11482.91
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,239900.00
406,2021-01-04,1270038,590291.89,538202,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603451.93
432,2020-12-16,1277550,289679.85,118842,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289000.00
434,2020-12-16,1277727,689308.28,180151,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342000.00
495,2020-12-07,1275184,359397.6,257428,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379048.50
502,2020-12-07,1271792,261005.71,266378,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,261005.71
503,2020-12-07,1276619,246007.44,127815,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,251969.19
564,2020-11-24,1269978,65296.0,111475,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,72716.00
572,2020-11-23,1275554,7090.06,199700,3.0,2.0,1565.0,1760.0,248570.0,21,21,2020,1.0,1.0,1.0,7090.06
582,2020-11-23,1276167,332093.86,93674,4.0,3.0,1811.0,1896.0,254993.0,21,12,2019,1.0,5.0,1.0,211650.00
637,2020-11-10,1273564,333547.5,336882,4.0,3.0,2417.0,6020.0,443961.0,31,21,2019,0.0,2.0,4.0,300000.00
638,2020-11-10,1274735,94781.61,2790720,3.0,4.0,3529.0,1.0,5168404.0,31,27,2019,1.0,1.0,1.0,94781.61
640,2020-11-10,1273654,376538.03,264002,3.0,2.0,1357.0,7500.0,400713.0,31,6,2016,1.0,4.0,5.0,300000.00
651,2020-11-10,1275437,156423.95,161334,2.0,1.0,1189.0,7000.0,252102.0,31,20,2019,0.0,2.0,1.0,159878.09
655,2020-11-10,1272946,135174.33,168390,3.0,2.0,1380.0,6450.0,278263.0,31,26,2019,0.0,2.0,5.0,180074.33
689,2020-11-03,1271183,178077.41,702298,4.0,3.0,2426.0,15146.0,916833.0,8,6,2019,0.0,1.0,2.0,183358.79
690,2020-11-03,1269525,277088.79,147355,3.0,3.0,1512.0,2400.0,338142.0,8,1,2014,1.0,6.0,8.0,268800.00
732,2020-10-27,1272523,398092.95,405856,3.0,1.0,1866.0,8000.0,732359.0,15,3,2014,0.0,7.0,10.0,398092.95
735,2020-10-27,1273124,204432.76,174328,3.0,1.0,816.0,10080.0,258057.0,15,11,2019,0.0,3.0,1.0,201000.00
755,2020-10-21,1271152,305101.81,157667,3.0,2.0,1287.0,8800.0,397174.0,27,1,2010,0.0,1.0,2.0,249900.00
756,2020-10-21,1272992,8410.15,175001,2.0,2.0,1130.0,1485.0,229488.0,27,21,2019,1.0,1.0,1.0,8410.15
790,2020-10-19,1270517,181595.32,75068,3.0,2.0,1591.0,6890.0,284089.0,25,5,2018,0.0,7.0,1.0,131250.00
791,2020-10-19,1267887,434733.78,273736,4.0,3.0,1874.0,6750.0,394493.0,25,18,2019,0.0,4.0,1.0,296700.00
796,2020-10-19,1267735,255977.92,239446,3.0,2.0,1898.0,4243.0,342236.0,25,12,2019,1.0,2.5,2.0,259900.00
816,2020-10-13,1268057,314474.96,137760,3.0,2.0,1292.0,7425.0,434672.0,31,21,2019,1.0,3.0,2.0,311797.00
827,2020-10-13,1269619,226844.4,171020,3.0,2.0,1231.0,5121.0,249901.0,31,22,2019,0.0,2.0,4.0,226844.40
846,2020-10-06,1267732,240075.09,134512,4.0,2.0,1512.0,8250.0,290751.0,2,1,2017,0.0,7.0,2.0,235000.00
855,2020-10-05,1271494,79855.21,82982,3.0,2.0,1456.0,5300.0,259315.0,22,19,2019,0.0,3.0,3.0,79855.21
860,2020-10-05,1268771,942109.38,428431,5.0,4.0,2944.0,6304.0,550851.0,22,16,2019,0.0,9.0,4.0,433500.00
885,2020-09-29,1269628,131704.58,125090,3.0,2.0,2158.0,7875.0,325036.0,20,10,2018,0.0,2.0,3.0,141142.00
887,2020-09-29,1268056,43121.48,74608,3.0,2.0,1126.0,6950.0,261412.0,20,12,2019,0.0,8.0,2.0,44928.91
920,2020-09-21,1268317,246007.44,127815,2.0,2.0,1275.0,1920.0,330921.0,13,10,2019,1.0,3.0,2.0,248952.87
997,2020-07-06,1258524,275301.69,235770,3.0,2.0,1146.0,2977.0,331858.0,13,1,2009,0.0,8.0,18.0,275301.69
2083,2020-03-10,1251896,504081.0,311002,4.0,2.0,2168.0,4360.0,399447.0,55,5,2014,1.0,5.0,6.0,291923.56
2161,2020-03-09,1239687,73430.92,53879,2.0,2.0,910.0,2610.0,194369.0,66,28,2017,1.0,13.0,1.0,75609.69
2188,2020-03-04,1252459,225821.06,93819,2.0,1.0,859.0,3500.0,158341.0,57,40,2019,1.0,8.0,1.0,78650.00
2207,2020-03-04,1252463,573275.61,519952,5.0,3.0,3026.0,5500.0,623852.0,57,31,2018,1.0,2.0,1.0,449000.00
2255,2020-03-02,1245673,433766.14,251345,4.0,2.0,2023.0,8480.0,436527.0,59,12,2017,1.0,6.0,4.0,276494.55
2292,2020-02-26,1249444,286109.61,82561,3.0,2.0,1220.0,8400.0,270454.0,30,12,2017,1.0,2.0,4.0,183750.00
2314,2020-02-25,1250779,375287.91,393708,3.0,2.0,2104.0,2720.0,494438.0,16,15,2019,1.0,2.0,1.0,380012.91
2324,2020-02-24,1247835,523321.79,277186,3.0,2.0,1652.0,1.0,315787.0,56,5,2014,0.0,1.0,2.0,209790.00
2367,2020-02-24,1239708,287342.38,152295,3.0,1.0,1056.0,7800.0,272188.0,56,15,2017,1.0,4.0,1.0,171722.06
2398,2020-02-19,1249615,473225.73,257402,3.0,2.0,1668.0,5000.0,388757.0,36,21,2018,0.0,5.0,5.0,292502.39
2404,2020-02-19,1249602,74804.8,82982,3.0,2.0,1456.0,5300.0,246905.0,36,36,2019,0.0,3.0,3.0,74804.80
2414,2020-02-18,1246866,364152.57,278517,3.0,2.0,1576.0,8250.0,369795.0,99,7,2013,0.0,3.0,7.0,152342.67
2442,2020-02-18,1243148,663107.07,458522,4.0,2.0,1876.0,6750.0,617912.0,99,3,2009,0.0,8.0,1.0,287250.00
2454,2020-02-18,1249069,106337.85,107078,2.0,1.0,1210.0,5400.0,320700.0,99,19,2015,0.0,4.0,10.0,122875.51
2465,2020-02-18,1247496,193076.79,125434,4.0,2.0,1742.0,7875.0,279454.0,99,84,2019,0.0,1.0,1.0,195293.96
2499,2020-02-12,1242823,314678.65,266075,3.0,2.0,2027.0,9862.0,292942.0,38,21,2018,1.0,5.0,1.0,113400.00
2530,2020-02-11,1247321,386535.79,392894,4.0,2.0,2132.0,10107.9,165800.0,10,2,2017,0.0,4.0,1.0,391231.96
2545,2020-02-10,1248044,323017.41,140411,3.0,2.0,995.0,7950.0,248564.0,68,29,2017,1.0,9.0,2.0,157500.00
2629,2020-02-04,1236004,508112.15,344334,3.0,2.0,1654.0,6179.0,415369.0,26,18,2018,1.0,14.5,1.0,279000.00
2652,2020-02-03,1246225,375703.28,320164,4.0,2.0,2632.0,5000.0,422682.0,63,33,2018,1.0,5.0,3.0,336150.00
2673,2020-02-03,1244187,382650.66,313554,4.0,3.0,2675.0,6653.0,413963.0,63,29,2018,0.0,5.0,2.0,264945.56
2675,2020-02-03,1236006,789366.7,409593,4.0,3.0,2968.0,6082.0,501291.0,63,23,2017,1.0,12.0,1.0,355500.00
2680,2020-02-03,1240143,478004.07,148372,4.0,2.0,1616.0,1750.0,230916.0,63,36,2018,1.0,6.0,1.0,182250.00
2718,2020-01-28,1243767,224712.38,216773,3.0,1.0,936.0,6300.0,297172.0,25,3,2012,0.0,13.0,2.0,229716.00
2737,2020-01-27,1245297,491446.13,241181,4.0,2.0,1540.0,7140.0,361197.0,76,28,2017,1.0,5.0,2.0,263250.00
2769,2020-01-27,1235235,796022.27,444251,5.0,3.0,3039.0,16786.0,587281.0,76,6,2013,0.0,8.0,4.0,498500.00
2775,2020-01-27,1231451,648271.8,337262,3.0,2.0,1644.0,15000.0,493285.0,76,39,2018,0.0,5.0,1.0,348000.00
2776,2020-01-27,1242910,371127.75,260991,5.0,3.0,2202.0,7200.0,447108.0,76,37,2018,1.0,4.0,2.0,264750.00
2827,2020-01-22,1249683,179158.72,188603,4.0,2.0,1506.0,5088.0,288248.0,32,28,2019,0.0,9.0,2.0,159669.34
2828,2020-01-22,1234508,419750.73,220459,3.0,2.0,1654.0,5500.0,334453.0,32,19,2019,1.0,3.0,1.0,306940.00
2846,2020-01-21,1247600,177476.3,152881,3.0,2.0,1169.0,7561.0,257230.0,110,106,2019,0.0,4.0,1.0,179000.36
2866,2020-01-21,1244118,423817.3,145234,2.0,2.0,1089.0,2205.0,242885.0,110,103,2019,1.0,4.0,1.0,206400.00
2917,2020-01-21,1231228,132061.27,171668,3.0,2.0,1370.0,6342.0,237509.0,110,36,2017,0.0,8.0,1.0,139427.44
2934,2020-01-21,1233274,514954.53,390236,4.0,3.0,2388.0,8725.24,519595.0,110,26,2016,1.0,9.0,1.0,324916.91
