,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
140,2021-01-19,1274197,504894.55,300967,4.0,3.0,2852.0,12154.0,570267.0,41,27,2019,1.0,3.0,1.0,437000.0
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
143,2021-01-19,1276228,470314.51,388163,4.0,2.0,2519.0,4500.0,488214.0,41,13,2018,1.0,4.0,3.0,420200.0
148,2021-01-13,1272419,485091.47,341042,5.0,4.0,3663.0,44649.0,739352.0,38,7,2015,1.0,4.0,9.0,541300.0
150,2021-01-13,1279200,1156745.09,723642,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,650100.0
151,2021-01-13,1279169,322444.3,205247,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,215500.0
154,2021-01-13,1279570,398745.6,154741,4.0,2.0,1881.0,3809.0,393463.0,38,17,2018,0.0,4.0,1.0,323100.0
161,2021-01-13,1275590,319144.65,255000,3.0,2.0,1683.0,1495.0,337577.0,38,11,2016,1.0,6.0,2.0,319200.0
165,2021-01-13,1279924,357990.62,84526,2.0,2.0,1150.0,0.0,149391.0,38,24,2019,1.0,4.0,1.0,6200.0
167,2021-01-13,1280854,31932.19,85437,3.0,2.0,1715.0,0.0,209838.0,38,26,2019,1.0,3.0,2.0,134000.0
169,2021-01-13,1275592,494176.33,148018,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,50100.0
170,2021-01-13,1278006,357224.49,210749,4.0,2.0,1946.0,3472.0,334501.0,38,31,2019,1.0,1.0,3.0,311300.0
173,2021-01-13,1278112,627944.96,523345,2.0,2.0,1119.0,0.0,582425.0,38,32,2019,1.0,5.0,1.0,475100.0
175,2021-01-13,1279690,50938.04,44625,1.0,1.0,740.0,0.0,93526.0,38,25,2019,1.0,3.0,1.0,75100.0
176,2021-01-13,1275628,549578.85,418500,1.0,1.0,778.0,0.0,402676.0,38,29,2019,1.0,2.0,2.0,500100.0
178,2021-01-13,1275190,389870.76,247805,3.0,2.0,1452.0,4920.0,387913.0,38,21,2018,0.0,2.0,1.0,326700.0
179,2021-01-13,1279550,12750.3,100425,1.0,1.0,855.0,0.0,139211.0,38,37,2020,1.0,1.0,1.0,79000.0
180,2021-01-12,1278356,438129.47,85869,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300100.0
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,0.0,457700.0,41,26,2019,1.0,1.0,1.0,108100.0
184,2021-01-12,1279549,595743.8,403978,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,460200.0
185,2021-01-12,1279700,59531.03,114000,2.0,2.0,1405.0,0.0,167102.0,41,28,2019,1.0,4.0,1.0,100.0
186,2021-01-12,1278123,152258.82,76093,2.0,1.0,840.0,0.0,177801.0,41,29,2019,1.0,8.0,2.0,35100.0
187,2021-01-12,1278198,35996.08,189746,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,185200.0
191,2021-01-12,1272005,375624.94,142047,4.0,2.0,2591.0,7950.0,360935.0,41,17,2018,1.0,3.0,3.0,260300.0
192,2021-01-12,1279019,1037122.11,377490,4.0,3.0,2169.0,7255.0,442001.0,41,5,2015,1.0,7.0,2.0,390200.0
