,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
13,2021-02-10,1280452,213137.62,145229,175500.00,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,182500.00
18,2021-02-10,1282588,240764.72,156893,235000.00,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,160100.00
19,2021-02-10,1280196,171588.80,230826,173429.59,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,253000.00
59,2021-02-03,1280752,375534.49,381600,330018.00,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,100100.00
74,2021-01-20,1280182,477116.59,354197,439762.51,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,300100.0
81,2021-01-20,1280968,19042.83,133384,19042.83,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,61000.0
88,2021-01-20,1280767,213729.18,246600,213730.00,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213800.0
92,2021-01-20,1276323,540474.09,265640,305000.00,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,125100.0
100,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
106,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
120,2021-01-19,1276925,190303.21,188300,197571.23,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,91800.0
165,2021-01-13,1279924,357990.62,84526,146974.30,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,6200.0
167,2021-01-13,1280854,31932.19,85437,43811.96,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,134000.0
179,2021-01-13,1279550,12750.3,100425,13454.87,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,79000.0
182,2021-01-12,1279427,54218.33,322100,56582.37,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,108100.0
185,2021-01-12,1279700,59531.03,114000,59531.03,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,100.0
186,2021-01-12,1278123,152258.82,76093,156600.00,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,35100.0
195,2021-01-12,1278725,358365.45,178000,216000.00,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,175100.0
197,2021-01-12,1280851,1590667.72,955500,1500000.00,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,12100.0
203,2021-01-12,1278348,65370.15,310800,69885.18,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,90100.0
208,2021-01-12,1277092,367285.94,322000,300000.00,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,265100.0
220,2021-01-11,1279099,147012.48,70786,130000.00,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,147300.0
224,2021-01-11,1272001,621241.69,276200,302700.00,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,100.0
245,2021-01-11,1279822,16894.11,61554,16894.11,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,35100.0
258,2021-01-11,1278121,98747.04,27003,98747.04,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,13100.0
261,2021-01-11,1276333,202678.78,211500,210230.65,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,1600.0
281,2021-01-06,1274734,223590.69,197652,226617.49,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,227100.0
283,2021-01-06,1276188,190403.21,179100,197539.42,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,101100.0
315,2021-01-06,1275433,543494.04,206000,220800.00,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,122700.0
323,2021-01-06,1278152,286128.55,164800,211000.00,1.0,1.0,667.0,204478.0,75,68,2019,4.0,1.0,2100.0
347,2021-01-05,1278078,276256.02,126700,153000.00,2.0,2.0,1080.0,253390.0,27,25,2020,3.0,1.0,110800.0
349,2021-01-05,1279220,28264.5,68009,28600.00,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,28700.0
359,2021-01-04,1275472,142960.83,126600,137475.00,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,137500.0
380,2021-01-04,1278721,659139.24,414900,441000.00,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,355100.0
419,2021-01-04,1276233,191236.9,174800,198121.43,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,3100.0
426,2020-12-16,1277851,12215.68,707800,12285.77,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,235600.0
438,2020-12-16,1273001,582980.19,717000,582980.19,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,100.0
439,2020-12-16,1277724,186687.06,135000,139200.00,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,146100.0
443,2020-12-15,1277102,734976.46,591120,600000.00,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,450100.0
461,2020-12-14,1276503,191828.42,168560,196609.80,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,196700.0
464,2020-12-14,1278775,14981.51,39359,14981.51,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,61200.0
468,2020-12-09,1277083,16531.74,130000,16531.74,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,96100.0
511,2020-12-07,1271294,600735.3,498000,600735.30,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,220100.0
517,2020-12-02,1273071,546868.87,213200,187161.76,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,243700.0
523,2020-12-01,1270849,311337.32,235900,262000.00,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,47300.0
528,2020-12-01,1273562,199817.79,141100,139900.00,1.0,1.0,918.0,189785.0,18,4,2016,8.0,4.0,45100.0
543,2020-11-30,1270585,10214.3,79673,18527.31,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,91200.0
544,2020-11-30,1277357,598719.3,406600,550000.00,1.0,2.0,979.0,350742.0,28,22,2019,2.0,1.0,2100.0
547,2020-11-30,1271043,402648.04,398534,407900.00,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,408000.0
555,2020-11-30,1276186,531447.92,391797,409999.18,1.0,2.0,947.0,630947.0,28,25,2020,5.0,1.0,5100.0
557,2020-11-25,1275048,143001.16,125000,143001.16,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,143100.0
586,2020-11-23,1274164,197332.85,126443,220370.00,2.0,2.0,996.0,343537.0,21,5,2016,6.0,6.0,173100.0
589,2020-11-18,1273983,164233.06,194000,172207.49,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,200100.0
595,2020-11-18,1273827,10172.76,113000,8872.83,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,75300.0
600,2020-11-17,1275529,222936.65,180000,216000.00,3.0,2.0,1400.0,219488.0,7,3,2019,7.0,1.0,3700.0
602,2020-11-16,1272522,371189.96,266297,285000.00,1.0,1.0,791.0,233585.0,38,19,2018,6.0,3.0,275300.0
621,2020-11-16,1273992,550855.63,567000,555132.63,3.0,2.0,1489.0,334738.0,38,28,2019,6.0,1.0,10100.0
630,2020-11-16,1275625,496834.0,473000,496834.00,3.0,2.0,1458.0,539855.0,38,33,2019,3.0,2.0,185200.0
650,2020-11-10,1273267,590108.98,365310,550000.00,2.0,2.0,926.0,498773.0,31,24,2019,4.0,2.0,3800.0
695,2020-11-02,1271946,600969.45,564482,423000.00,0.0,0.0,1300.0,683901.0,33,32,2019,8.0,1.0,169100.0
722,2020-11-02,1270592,242875.91,75821,175000.00,1.0,1.0,700.0,145055.0,33,8,2015,3.0,1.0,5100.0
723,2020-10-28,1273067,22236.01,354197,27200.00,2.0,2.0,1088.0,407911.0,2,2,2019,2.0,2.0,69100.0
731,2020-10-27,1273127,261318.57,137297,175500.00,2.0,2.0,1502.0,198615.0,15,15,2020,26.0,1.0,120600.0
737,2020-10-26,1272307,3331892.39,946866,1100250.00,2.0,3.0,2149.0,1664413.0,16,2,2012,6.0,1.0,600100.0
741,2020-10-26,1270035,543978.42,386400,338600.00,2.0,2.0,1326.0,438933.0,16,7,2017,6.0,1.0,25100.0
770,2020-10-21,1272300,192619.62,120800,148000.00,2.0,1.0,800.0,173002.0,27,27,2020,3.0,1.0,78100.0
771,2020-10-21,1271189,13842.53,41444,13842.53,0.0,0.0,112.0,110771.0,27,22,2019,2.0,1.0,38800.0
776,2020-10-20,1273432,249360.13,198000,250666.48,1.0,1.0,852.0,296119.0,8,8,2020,9.0,1.0,5100.0
779,2020-10-20,1273956,246578.5,177000,246578.50,2.0,2.0,1130.0,236449.0,8,3,2018,11.0,1.0,5100.0
782,2020-10-20,1273887,61134.87,53534,60723.00,3.0,2.0,1125.0,165475.0,8,7,2019,9.0,1.0,123600.0
788,2020-10-19,1271943,127645.05,83400,89000.00,2.0,1.0,1075.0,113782.0,25,20,2019,3.0,1.0,89300.0
797,2020-10-19,1270420,450619.45,363900,366000.00,3.0,3.0,1702.0,388844.0,25,15,2019,5.0,2.0,115100.0
799,2020-10-19,1268865,253243.57,49320,137000.00,2.0,2.0,919.0,156319.0,25,14,2019,7.0,3.0,100.0
809,2020-10-13,1269524,537391.27,453000,537391.27,3.0,2.0,1458.0,310462.0,31,23,2019,5.0,2.0,100100.0
826,2020-10-13,1269834,555577.4,338000,443500.00,3.0,3.0,1684.0,433748.0,31,19,2019,5.0,2.0,2100.0
831,2020-10-13,1271182,400797.59,267009,401287.59,2.0,2.0,1515.0,502293.0,31,16,2019,4.0,3.0,50100.0
832,2020-10-13,1271184,463966.58,264001,283300.00,3.0,3.0,2206.0,338540.0,31,11,2018,6.0,1.0,200100.0
845,2020-10-07,1270595,115146.0,109912,115146.00,1.0,1.0,592.0,151750.0,10,9,2019,2.0,1.0,45100.0
858,2020-10-05,1268939,344441.0,250300,275000.00,2.0,2.0,1763.0,354752.0,22,7,2017,3.0,1.0,1100.0
884,2020-09-29,1270518,174230.68,189360,174230.68,2.0,2.0,1268.0,266992.0,20,19,2019,5.0,2.0,174300.0
895,2020-09-29,1269259,284218.52,102120,190000.00,1.0,1.0,994.0,178777.0,20,13,2019,2.0,1.0,10600.0
899,2020-09-29,1269620,197332.85,126443,121824.42,2.0,2.0,996.0,344185.0,20,3,2016,6.0,6.0,146300.0
914,2020-09-23,1270400,10172.76,113000,10400.00,1.0,1.0,546.0,145085.0,16,14,2019,3.0,2.0,69100.0
919,2020-09-21,1267889,881277.03,643960,750000.00,3.0,3.0,1334.0,1091276.0,13,11,2019,2.0,3.0,50100.0
927,2020-09-21,1267561,59200.83,53852,62632.78,2.0,2.0,812.0,165882.0,13,8,2019,15.0,2.0,140300.0
936,2020-09-14,1267731,195352.48,180069,202992.46,4.0,3.0,1500.0,228955.0,6,4,2018,3.0,2.0,203000.0
2069,2020-03-11,1252653,177773.94,140000,135000.00,2.0,2.0,870.0,179454.0,16,15,2019,5.0,1.0,142000.0
2084,2020-03-10,1253058,306614.11,99189,119250.00,2.0,2.0,1317.0,135138.0,55,25,2019,3.0,1.0,11100.0
2093,2020-03-10,1252852,1382370.94,550848,665100.00,0.0,0.0,2869.0,417171.0,55,27,2019,3.0,1.0,100.0
2099,2020-03-10,1251855,142855.71,125345,133400.00,2.0,1.0,1140.0,192164.0,55,15,2018,7.0,3.0,155800.0
2131,2020-03-09,1246408,582550.18,307500,289827.24,1.0,1.0,964.0,417171.0,66,20,2016,7.0,1.0,280100.0
2171,2020-03-04,1252414,43419.12,673814,43419.12,2.0,2.0,1595.0,964200.0,57,39,2019,1.0,1.0,422000.0
2179,2020-03-04,1251267,582842.9,185145,378698.20,3.0,2.0,1232.0,423178.0,57,8,2017,6.0,1.0,200100.0
2193,2020-03-04,1251264,149656.91,92889,157827.35,3.0,2.0,1407.0,195413.0,57,33,2018,4.0,3.0,125800.0
2235,2020-03-02,1250828,265884.79,245610,268204.86,2.0,2.0,1024.0,309272.0,59,55,2019,4.0,1.0,169100.0
2241,2020-03-02,1251486,79267.35,83037,80170.08,2.0,2.0,750.0,294650.0,59,40,2019,2.0,1.0,148200.0
2264,2020-03-02,1251471,103843.87,80000,104529.87,1.0,1.0,898.0,112014.0,59,33,2018,3.0,1.0,72500.0
2280,2020-02-26,1250757,230599.48,215000,232494.75,1.0,2.0,854.0,303539.0,30,27,2019,11.0,1.0,5500.0
2289,2020-02-26,1249987,422258.78,205373,209901.75,3.0,2.0,1470.0,280154.0,30,5,2014,4.0,8.0,210000.0
2332,2020-02-24,1248226,44910.63,143000,44910.63,4.0,2.0,1846.0,172700.0,56,14,2017,1.0,3.0,45000.0
2336,2020-02-24,1249364,157106.69,90000,120000.00,1.0,1.0,768.0,348200.0,56,43,2019,7.0,1.0,1400.0
2345,2020-02-24,1243150,34715.54,89000,36107.23,2.0,2.0,1594.0,423862.0,56,42,2019,7.0,2.0,243100.0
2360,2020-02-24,1249818,9662.46,92988,10100.00,2.0,2.0,1315.0,121477.0,56,56,2019,1.0,2.0,72400.0
2363,2020-02-24,1249947,107747.88,116676,20048.79,2.0,1.0,981.0,309502.0,56,17,2017,2.0,2.0,41300.0
2364,2020-02-24,1249200,259748.37,148000,139900.00,1.0,1.0,1230.0,176394.0,56,2,2011,6.0,1.0,100.0
2378,2020-02-19,1248600,269354.26,91463,135000.00,2.0,2.0,917.0,155708.0,36,3,2014,6.0,3.0,72800.0
2386,2020-02-19,1249208,3174627.44,876755,887300.00,3.0,3.0,1641.0,400600.0,36,35,2019,4.5,1.0,1700.0
2391,2020-02-19,1250048,131682.31,62481,86450.00,1.0,1.0,870.0,275600.0,36,24,2019,7.0,1.0,50100.0
2393,2020-02-19,1249604,439106.82,244207,288750.00,2.0,2.0,1470.0,398686.0,36,29,2019,3.0,1.0,150100.0
2415,2020-02-18,1243071,320732.77,251000,320732.77,1.0,1.0,740.0,283233.0,99,27,2016,3.0,1.0,150100.0
2536,2020-02-11,1249369,370931.36,258900,339000.00,2.0,2.0,990.0,310234.0,10,8,2019,7.0,1.0,600.0
2544,2020-02-10,1249357,235239.77,104509,108243.90,1.0,1.0,639.0,137380.0,68,17,2016,11.0,1.0,108300.0
2600,2020-02-05,1236058,217338.07,148547,182992.11,3.0,2.0,1360.0,251375.0,28,10,2018,5.0,1.0,183000.0
2615,2020-02-05,1236217,217840.55,148500,139443.53,1.0,1.0,757.0,167096.0,28,20,2018,3.0,1.0,90100.0
2643,2020-02-04,1236185,283325.68,112356,121200.00,2.0,2.0,1061.0,168193.0,26,10,2017,5.0,1.0,129200.0
2707,2020-01-29,1247644,120095.86,128000,124365.58,0.0,1.0,518.0,179837.0,8,7,2019,4.0,1.0,124400.0
2713,2020-01-28,1243768,249195.34,117335,278601.99,2.0,2.0,1030.0,189754.0,25,11,2016,3.0,6.0,5700.0
2722,2020-01-28,1244158,276110.62,346895,285600.17,2.0,2.0,1111.0,418894.0,25,24,2019,4.0,1.0,315100.0
2726,2020-01-28,1243883,141467.05,111384,111610.86,2.0,2.0,973.0,195087.0,25,1,2007,4.0,1.0,129000.0
2756,2020-01-27,1235034,144317.0,118320,133000.00,3.0,2.0,1255.0,195042.0,76,64,2019,4.0,1.0,138200.0
2762,2020-01-27,1246349,1207362.41,608000,720000.00,2.0,2.0,1602.0,913426.0,76,66,2019,2.0,1.0,5400.0
