,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,1.0
183,2021-01-12,1278587,55542.91,333200,3.0,2.0,1350.0,343430.0,41,4,2015,4.0,4.0,0.0
185,2021-01-12,1279700,59531.03,114000,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,1.0
186,2021-01-12,1278123,152258.82,76093,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,1.0
194,2021-01-12,1279686,460953.09,506700,2.0,2.0,1434.0,363471.0,41,40,2020,7.0,1.0,0.0
195,2021-01-12,1278725,358365.45,178000,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,1.0
196,2021-01-12,1279023,310098.1,128392,2.0,2.0,1143.0,247086.0,41,24,2019,4.0,2.0,1.0
197,2021-01-12,1280851,1590667.72,955500,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,1.0
198,2021-01-12,1278046,500224.03,168946,1.0,1.0,886.0,259456.0,41,7,2016,6.0,5.0,0.0
199,2021-01-12,1277097,558459.8,297400,2.0,2.0,990.0,406485.0,41,6,2016,4.0,1.0,0.0
201,2021-01-12,1278948,32631.19,71375,2.0,2.0,1075.0,179379.0,41,1,2014,4.0,1.0,0.0
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,1.0
207,2021-01-12,1278199,559079.39,544350,2.0,2.0,1171.0,644858.0,41,34,2019,3.0,3.0,0.0
208,2021-01-12,1277092,367285.94,322000,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,1.0
209,2021-01-12,1279163,122840.8,15116,1.0,1.0,660.0,60216.0,41,36,2019,2.0,2.0,1.0
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,1.0
222,2021-01-11,1278043,303475.41,104927,0.0,1.0,540.0,216376.0,59,9,2016,4.0,2.0,1.0
224,2021-01-11,1272001,621241.69,276200,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,1.0
240,2021-01-11,1278467,123202.73,178500,1.0,1.0,990.0,225756.0,59,1,2010,4.0,5.0,0.0
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,1.0
252,2021-01-11,1275542,24170.86,157000,1.0,1.0,652.0,161050.0,59,39,2019,1.0,1.0,0.0
257,2021-01-11,1274760,14981.51,39359,2.0,2.0,1040.0,128197.0,59,32,2019,1.0,3.0,0.0
258,2021-01-11,1278121,98747.04,27003,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,1.0
261,2021-01-11,1276333,202678.78,211500,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,1.0
263,2021-01-11,1278792,51612.32,61776,2.0,1.0,921.0,166466.0,59,43,2019,2.0,1.0,1.0
273,2021-01-06,1274203,204168.74,90000,2.0,1.0,1181.0,135386.0,75,54,2019,3.0,1.0,1.0
275,2021-01-06,1279217,702186.27,258445,2.0,2.0,942.0,352724.0,75,17,2017,16.0,1.0,1.0
277,2021-01-06,1277098,334837.27,295588,2.0,2.0,1217.0,676715.0,75,4,2012,5.0,1.0,0.0
278,2021-01-06,1272013,305089.03,128750,2.0,2.0,968.0,176718.0,75,11,2016,3.0,2.0,1.0
281,2021-01-06,1274734,223590.69,197652,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,1.0
282,2021-01-06,1280176,708531.04,714555,0.0,0.0,2133.0,385286.0,75,72,2020,7.0,1.0,0.0
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,1.0
284,2021-01-06,1279216,19752.05,129500,2.0,2.0,755.0,170794.0,75,62,2019,6.0,1.0,0.0
289,2021-01-06,1273307,325081.03,220000,1.0,1.0,690.0,281740.0,75,45,2019,2.0,5.0,0.0
292,2021-01-06,1276368,380090.12,195810,3.0,2.0,1109.0,249806.0,75,27,2018,6.0,3.0,1.0
293,2021-01-06,1276478,500470.08,183901,2.0,2.0,960.0,277507.0,75,23,2017,7.0,2.0,0.0
294,2021-01-06,1276354,76961.79,108016,2.0,3.0,1950.0,293779.0,75,24,2017,8.0,6.0,0.0
296,2021-01-06,1274066,204129.06,64087,1.0,1.0,710.0,174403.0,75,38,2018,10.0,1.0,0.0
301,2021-01-06,1275993,1611665.38,821703,3.0,4.0,2440.0,1799581.0,75,35,2018,8.0,1.0,0.0
305,2021-01-06,1279333,1161895.7,292769,2.0,2.0,1140.0,408866.0,75,43,2018,3.0,1.0,0.0
307,2021-01-06,1277093,916817.81,1006739,3.0,2.0,1711.0,1400834.0,75,67,2019,5.0,1.0,0.0
309,2021-01-06,1280715,171019.64,91507,2.0,2.0,1120.0,211483.0,75,36,2018,4.0,6.0,0.0
311,2021-01-06,1271994,193014.95,102781,2.0,2.0,1160.0,192268.0,75,59,2019,4.0,3.0,0.0
313,2021-01-06,1278122,189326.68,107900,1.0,1.0,669.0,150661.0,75,40,2018,6.0,2.0,0.0
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,1.0
316,2021-01-06,1277827,116626.29,49191,1.0,1.0,700.0,182725.0,75,46,2019,7.0,2.0,1.0
318,2021-01-06,1279688,98353.69,153139,1.0,1.0,615.0,211069.0,75,55,2019,4.0,1.0,0.0
320,2021-01-06,1277542,110029.55,106003,2.0,2.0,1257.0,213861.0,75,8,2015,3.0,1.0,0.0
322,2021-01-06,1272445,636095.64,153300,2.0,2.0,922.0,221395.0,75,20,2017,4.0,5.0,0.0
323,2021-01-06,1278152,286128.55,164800,1.0,1.0,667.0,204478.0,75,68,2019,4.0,1.0,1.0
335,2021-01-05,1277835,127907.01,42854,2.0,2.0,870.0,155025.0,27,7,2018,3.0,1.0,0.0
336,2021-01-05,1271999,522679.61,224222,1.0,1.0,761.0,290048.0,27,6,2018,5.0,1.0,0.0
